,account_value
0,1116358.602877484
1,1116720.605348438
2,1115528.2619138337
3,1129146.6441972402
4,1134128.848687381
5,1140604.0366858353
6,1142345.165525458
7,1150111.9408399519
8,1151729.3914985775
9,1149813.1639709144
10,1150667.1637834162
11,1153126.9074197696
12,1148245.5060588948
13,1150305.4799747309
14,1145897.3249256245
15,1137620.122434062
16,1134131.4851906279
17,1133177.6822611035
18,1134252.7725714955
19,1132951.4730393603
20,1131587.9418621985
21,1131351.6473694474
22,1130290.1429169003
23,1145030.3030122917
24,1143049.033323367
25,1142536.9998590944
26,1144072.8335261908
27,1156419.8374868922
28,1152993.8004375258
29,1155403.9912061603
30,1147387.749305368
31,1149990.187560787
32,1149194.0107347562
33,1149484.6997572815
34,1146722.4300503458
35,1149662.255899575
36,1147227.2594473972
37,1146216.2485985206
38,1144059.0826391745
39,1150040.434008147
40,1146101.885586388
41,1141878.3816962747
42,1145418.2488868209
43,1149191.6252103946
44,1148245.8056415808
45,1145626.2761322476
46,1143836.8482523377
47,1116968.3406551864
48,1133142.478728398
49,1117348.3359280003
50,1112707.807299683
51,1121983.7302440994
52,1112028.5294311263
53,1115877.7325933676
54,1119513.300942695
55,1131525.7391968893
56,1135959.84170525
57,1126062.9599849132
58,1116139.940438201
59,1124181.1145090584
60,1126530.501642007
61,1114539.4285450708
62,1120896.7414516292
