,account_value
0,1187133.1951872203
1,1191260.4936073013
2,1186535.7507059514
3,1185283.2887002358
4,1182663.174170515
5,1185911.8492552764
6,1191281.9417060325
7,1188806.5091023417
8,1187893.5454259512
9,1186247.547720434
10,1186887.1758170226
11,1180718.6106599565
12,1186632.2491776163
13,1184300.4168071393
14,1201477.2869062754
15,1207629.8327761583
16,1209488.6695639803
17,1206305.5010141784
18,1194288.5235735392
19,1184858.867460839
20,1185478.3605750874
21,1184376.7858958794
22,1193518.1583461585
23,1190055.640542864
24,1187474.6274778235
25,1189065.9526064543
26,1198486.273974591
27,1209062.6999601896
28,1213687.0214813417
29,1213205.0513283263
30,1212653.2406712607
31,1209329.5559997936
32,1210574.9205182453
33,1216232.1730564993
34,1226279.6525884524
35,1227280.791625356
36,1226953.8702032138
37,1225427.600815275
38,1222251.7170618998
39,1239767.650914285
40,1231997.0128944828
41,1228798.6636055543
42,1228001.6427414676
43,1221401.705585752
44,1213228.4223364273
45,1214172.7458377774
46,1218145.4368008736
47,1214541.7946676603
48,1209401.186953889
49,1218155.9687270662
50,1215456.9755317469
51,1214390.569744168
52,1217205.5049196857
53,1204666.4850276962
54,1195271.0284300365
55,1202052.942435437
56,1201360.6750276964
57,1197469.7153787313
58,1209579.5431915128
59,1207435.309996193
60,1206624.005225716
61,1201636.1758377773
62,1200372.4062968232
