,account_value
0,1185012.3959586418
1,1178425.1145689157
2,1185608.8519224885
3,1191218.2672093834
4,1188647.2497956804
5,1201295.7934423224
6,1196922.3835313101
7,1202343.1346489482
8,1199636.6120932882
9,1195432.6931974324
10,1201371.4526187526
11,1205443.8616013813
12,1204781.7694747474
13,1197869.1399051235
14,1209491.766750301
15,1205601.6034410868
16,1210643.1863664924
17,1214286.484091045
18,1211824.864230618
19,1221469.8451539306
20,1217987.9005517256
21,1213254.9266292863
22,1215975.5395648296
23,1214141.8715170422
24,1210216.5735730838
25,1211917.6701658084
26,1202210.8995192917
27,1202157.8151341395
28,1207147.1935031987
29,1201523.5380809382
30,1200597.5276647145
31,1184352.0544349034
32,1172143.5250444028
33,1168317.4710749753
34,1180126.5021085937
35,1175527.4948613879
36,1177839.2190178852
37,1182093.387870687
38,1181806.03738734
39,1174911.575021862
40,1177389.557456612
41,1187355.4007518636
42,1196025.1129788703
43,1183156.2106720223
44,1187667.7748823485
45,1184291.532992437
46,1182288.085533116
47,1203189.7827649994
48,1213130.0403005902
49,1223003.6290065392
50,1227642.8592252505
51,1228756.4175206865
52,1227963.8869329062
53,1231793.9820067282
54,1237590.1823876363
55,1234597.702965627
56,1235867.9987379785
57,1239207.4767423493
58,1233922.496704375
59,1226247.4691421126
60,1228880.368457096
61,1225824.7247193935
62,1233528.323294857
