,account_value
0,1232978.532237822
1,1235664.4928999492
2,1242182.9575218249
3,1241063.3432766497
4,1240435.5374852654
5,1242700.5623572143
6,1241999.3941250846
7,1237773.75936487
8,1238775.2009132367
9,1240461.9693771899
10,1246870.7946155795
11,1245959.4463678617
12,1249089.1187638287
13,1256831.3899909311
14,1260262.825331982
15,1262251.5142469306
16,1261895.779477575
17,1282238.8719174191
18,1265316.7445033165
19,1254902.5510757226
20,1260102.619562121
21,1266420.2109662949
22,1259844.0110288227
23,1259794.2885451126
24,1261102.0591356482
25,1262680.330480877
26,1262016.211418878
27,1261491.1556752096
28,1259791.5476842385
29,1262932.9987252904
30,1252007.1351981962
31,1254378.238959524
32,1264824.1568265418
33,1273661.411458161
34,1275397.674807639
35,1282169.0498056535
36,1277310.992431319
37,1283766.8673436341
38,1279393.4886283888
39,1291455.3369853245
40,1306924.2629109665
41,1317498.1836115501
42,1310302.426036208
43,1319410.311872327
44,1313348.0224934143
45,1305109.084421675
46,1311376.9666737444
47,1316524.3510555641
48,1322156.6903792196
49,1324852.5905193544
50,1336499.012989175
51,1334033.8710053691
52,1336165.538252942
53,1344099.8658333365
54,1341501.1519103998
55,1338219.8560699124
56,1352104.4999511344
57,1345035.2616159192
58,1344993.5682040588
59,1341633.140140418
60,1344357.6814836876
61,1337050.933395201
62,1352890.7468525248
