,account_value
0,1362790.818472536
1,1369380.2003632546
2,1383118.5346070386
3,1383083.6869669037
4,1382398.5642260155
5,1379840.4458379282
6,1389369.658670275
7,1393215.663824265
8,1385012.1359427609
9,1388621.7241532037
10,1389371.2768230424
11,1400753.9914185065
12,1398994.3895505453
13,1400405.8813099428
14,1403540.5687529037
15,1402252.7012250696
16,1403556.7821504667
17,1401040.9902808378
18,1399339.4606358183
19,1401999.9051680448
20,1400352.793744217
21,1399137.726731075
22,1391527.8739449421
23,1393668.3284263874
24,1394681.3200738481
25,1387180.7745054888
26,1394034.38146252
27,1395099.2756021682
28,1394863.1495504105
29,1399008.5955338087
30,1399624.3836890822
31,1399635.4208756057
32,1398262.4297672072
33,1397557.5685601758
34,1397669.7930523632
35,1399091.2972642772
36,1401001.5430562694
37,1399072.2558394724
38,1397978.8341871286
39,1397271.6319439646
40,1396883.7539234569
41,1396216.4052554881
42,1396340.3577994336
43,1395706.1518414258
44,1396157.156374629
45,1396610.721570918
46,1396753.133270137
47,1396625.1491461135
48,1396621.1307056837
49,1396615.3965508987
50,1396615.3965508987
51,1393013.9155508985
52,1394940.7955508986
53,1395923.5935508986
54,1364360.9845508987
55,1344930.2065508987
56,1379956.0975308986
57,1359716.1575308987
58,1362591.5775308986
59,1376002.1975308987
60,1347773.0775308986
61,1369752.8175308988
62,1379624.9175308987
