,account_value
0,1394331.7175308987
1,1362043.5106236716
2,1364256.9223654324
3,1389961.017021459
4,1377505.1214570666
5,1396075.269116179
6,1385463.5329810716
7,1396856.7868613123
8,1401529.6709519112
9,1397956.4823873523
10,1399981.8376948826
11,1389854.429368584
12,1386778.853841362
13,1373098.0882437057
14,1373287.1674225635
15,1374214.35348962
16,1373947.9921699404
17,1373619.6226599403
18,1373428.12965994
19,1373401.8426599402
20,1373401.6086099402
21,1373401.6086099402
22,1373401.6086099402
23,1373401.6086099402
24,1373401.6086099402
25,1373401.6086099402
26,1373401.6086099402
27,1373401.6086099402
28,1373401.6086099402
29,1373607.3505499405
30,1373559.5592099407
31,1373678.0104299407
32,1374968.7854999404
33,1373670.2712499404
34,1373977.0336599401
35,1373331.1273499401
36,1373265.28057994
37,1367080.0167699398
38,1371542.7296999397
39,1365842.7788899397
40,1369994.83609994
41,1374831.4933899401
42,1373581.20665994
43,1384851.10011994
44,1384474.72297994
45,1386692.6192399398
46,1389520.1943899398
47,1388594.2497599397
48,1384652.1767099397
49,1386549.9099399396
50,1383604.3907199397
51,1377597.9163299398
52,1360218.4856399396
53,1361467.9827199394
54,1352560.1433999396
55,1356495.2532499395
56,1337868.1037999396
57,1337745.4821299396
58,1329961.0206199395
59,1337636.2015651814
60,1347679.5773349053
61,1349382.7809743048
62,1339769.557492005
