quarter_date,rank,permno,permco,ticker,comnam,mcap
2010-04-01,12,66093,21645,T,A T & T INC,154103152140.0
2010-04-01,13,14541,20440,CVX,CHEVRON CORP NEW,154020591570.0
2010-04-01,14,76076,10486,CSCO,CISCO SYSTEMS INC,147893177880.0
2010-04-01,15,90319,45483,GOOGL,ALPHABET INC,139266695951.57
2010-04-01,16,21936,21394,PFE,PFIZER INC,137801081320.0
2010-04-01,17,10104,8045,ORCL,ORACLE CORP,127786056860.0
2010-04-01,18,11308,20468,KO,COCA COLA CO,127473357199.99998
2010-04-01,19,27828,20908,HPQ,H P INC,124852751320.00002
2010-04-01,20,59328,2367,INTC,INTEL CORP,124577960000.0
2010-04-01,21,70519,20483,C,CITIGROUP INC,119376214539.99998
2010-04-01,22,22752,21188,MRK,MERCK & CO INC NEW,117478604070.00002
2010-04-01,23,13856,21384,PEP,PEPSICO INC,110201369200.00002
2010-04-01,24,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,98694128610.0
2010-04-01,25,86868,35048,GS,GOLDMAN SACHS GROUP INC,89680917660.0
2010-04-01,26,65875,20288,VZ,VERIZON COMMUNICATIONS INC,88835200000.0
2010-04-01,27,20482,20017,ABT,ABBOTT LABORATORIES,82227973280.0
2010-04-01,28,13928,21401,COP,CONOCOPHILLIPS,77345312760.0
2010-04-01,29,14277,21576,SLB,SCHLUMBERGER LTD,77202087380.0
2010-04-01,30,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,75608961450.0
2010-07-01,1,11850,20678,XOM,EXXON MOBIL CORP,288614479950.0
2010-07-01,2,14593,7,AAPL,APPLE INC,226982007359.99997
2010-07-01,3,10107,8048,MSFT,MICROSOFT CORP,200416611720.0
2010-07-01,4,55976,21880,WMT,WALMART INC,179324432660.00003
2010-07-01,5,18163,21446,PG,PROCTER & GAMBLE CO,171469484160.0
2010-07-01,6,22111,21018,JNJ,JOHNSON & JOHNSON,162919194900.0
2010-07-01,7,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,157177394359.99997
2010-07-01,8,12060,20792,GE,GENERAL ELECTRIC CO,150752434160.0
2010-07-01,9,66093,21645,T,A T & T INC,143825060000.0
2010-07-01,10,47896,20436,JPM,JPMORGAN CHASE & CO,143551279519.99997
2010-07-01,11,59408,3151,BAC,BANK OF AMERICA CORP,140661902920.0
2010-07-01,12,14541,20440,CVX,CHEVRON CORP NEW,135543162160.0
2010-07-01,13,38703,21305,WFC,WELLS FARGO & CO NEW,131191627360.0
2010-07-01,14,76076,10486,CSCO,CISCO SYSTEMS INC,121419070260.0
2010-07-01,15,11308,20468,KO,COCA COLA CO,115421761530.0
2010-07-01,16,21936,21394,PFE,PFIZER INC,114781086820.00002
2010-07-01,17,70519,20483,C,CITIGROUP INC,109543942619.99998
2010-07-01,18,10104,8045,ORCL,ORACLE CORP,108310300000.0
2010-07-01,19,90319,45483,GOOGL,ALPHABET INC,108187053388.34999
2010-07-01,20,22752,21188,MRK,MERCK & CO INC NEW,107392598880.0
2010-07-01,21,59328,2367,INTC,INTEL CORP,107164750000.0
2010-07-01,22,27828,20908,HPQ,H P INC,100126533440.0
2010-07-01,23,13856,21384,PEP,PEPSICO INC,99214472880.00002
2010-07-01,24,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,86204827800.0
2010-07-01,25,65875,20288,VZ,VERIZON COMMUNICATIONS INC,79515971160.0
2010-07-01,26,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,76346872260.0
2010-07-01,27,13928,21401,COP,CONOCOPHILLIPS,72734100660.0
2010-07-01,28,43449,21177,MCD,MCDONALDS CORP,71766417869.99998
2010-07-01,29,20482,20017,ABT,ABBOTT LABORATORIES,71714029900.0
2010-07-01,30,86868,35048,GS,GOLDMAN SACHS GROUP INC,67509429459.99999
2010-10-01,1,11850,20678,XOM,EXXON MOBIL CORP,318441422159.99994
2010-10-01,2,14593,7,AAPL,APPLE INC,258779835240.3
2010-10-01,3,10107,8048,MSFT,MICROSOFT CORP,208741560000.0
2010-10-01,4,55976,21880,WMT,WALMART INC,194046147920.0
2010-10-01,5,12060,20792,GE,GENERAL ELECTRIC CO,174908359200.0
2010-10-01,6,18163,21446,PG,PROCTER & GAMBLE CO,170701533440.0
2010-10-01,7,66093,21645,T,A T & T INC,170238290000.0
2010-10-01,8,22111,21018,JNJ,JOHNSON & JOHNSON,170086978750.0
2010-10-01,9,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,168513846040.0
2010-10-01,10,14541,20440,CVX,CHEVRON CORP NEW,164768178300.0
2010-10-01,11,47896,20436,JPM,JPMORGAN CHASE & CO,153888131270.0
2010-10-01,12,21936,21394,PFE,PFIZER INC,138097616040.0
2010-10-01,13,10104,8045,ORCL,ORACLE CORP,136913449789.99998
2010-10-01,14,11308,20468,KO,COCA COLA CO,136535393440.0
2010-10-01,15,38703,21305,WFC,WELLS FARGO & CO NEW,133766343000.0
2010-10-01,16,59408,3151,BAC,BANK OF AMERICA CORP,133399000000.0
2010-10-01,17,90319,45483,GOOGL,ALPHABET INC,130085168180.0
2010-10-01,18,76076,10486,CSCO,CISCO SYSTEMS INC,122373243790.0
2010-10-01,19,70519,20483,C,CITIGROUP INC,118501733610.0
2010-10-01,20,22752,21188,MRK,MERCK & CO INC NEW,112493503800.0
2010-10-01,21,59328,2367,INTC,INTEL CORP,107728320000.0
2010-10-01,22,13856,21384,PEP,PEPSICO INC,106184347000.0
2010-10-01,23,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,101815928500.0
2010-10-01,24,65875,20288,VZ,VERIZON COMMUNICATIONS INC,92980030000.0
2010-10-01,25,27828,20908,HPQ,H P INC,92455882110.00002
2010-10-01,26,13928,21401,COP,CONOCOPHILLIPS,85827383179.99998
2010-10-01,27,14277,21576,SLB,SCHLUMBERGER LTD,85481403480.0
2010-10-01,28,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,83258780850.0
2010-10-01,29,20482,20017,ABT,ABBOTT LABORATORIES,81160647700.0
2010-10-01,30,43449,21177,MCD,MCDONALDS CORP,79740202960.00002
2011-01-01,1,11850,20678,XOM,EXXON MOBIL CORP,375922624349.99994
2011-01-01,2,14593,7,AAPL,APPLE INC,303545514160.35004
2011-01-01,3,10107,8048,MSFT,MICROSOFT CORP,235115940000.0
2011-01-01,4,12060,20792,GE,GENERAL ELECTRIC CO,194768245040.00003
2011-01-01,5,55976,21880,WMT,WALMART INC,194342392640.00003
2011-01-01,6,14541,20440,CVX,CHEVRON CORP NEW,185022630320.0
2011-01-01,7,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,183223400280.0
2011-01-01,8,18163,21446,PG,PROCTER & GAMBLE CO,181303730609.99997
2011-01-01,9,66093,21645,T,A T & T INC,175349700000.0
2011-01-01,10,22111,21018,JNJ,JOHNSON & JOHNSON,172519676280.0
2011-01-01,11,47896,20436,JPM,JPMORGAN CHASE & CO,170362107980.0
2011-01-01,12,38703,21305,WFC,WELLS FARGO & CO NEW,165755714480.0
2011-01-01,13,10104,8045,ORCL,ORACLE CORP,159757520400.0
2011-01-01,14,11308,20468,KO,COCA COLA CO,151443057480.0
2011-01-01,15,90319,45483,GOOGL,ALPHABET INC,147226302977.78
2011-01-01,16,59408,3151,BAC,BANK OF AMERICA CORP,143108235930.0
2011-01-01,17,70519,20483,C,CITIGROUP INC,142343040000.0
2011-01-01,18,21936,21394,PFE,PFIZER INC,141615933680.0
2011-01-01,19,59328,2367,INTC,INTEL CORP,114904350000.00002
2011-01-01,20,14277,21576,SLB,SCHLUMBERGER LTD,114130387000.00002
2011-01-01,21,76076,10486,CSCO,CISCO SYSTEMS INC,113571193380.0
2011-01-01,22,22752,21188,MRK,MERCK & CO INC NEW,111034951240.0
2011-01-01,23,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,106450495980.0
2011-01-01,24,13856,21384,PEP,PEPSICO INC,104203295750.0
2011-01-01,25,65875,20288,VZ,VERIZON COMMUNICATIONS INC,102979704690.0
2011-01-01,26,13928,21401,COP,CONOCOPHILLIPS,100259913999.99998
2011-01-01,27,27828,20908,HPQ,H P INC,93618807240.00002
2011-01-01,28,86868,35048,GS,GOLDMAN SACHS GROUP INC,88470601150.0
2011-01-01,29,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,83449417590.0
2011-01-01,30,84788,15473,AMZN,AMAZON COM INC,83083220000.0
2011-04-01,1,11850,20678,XOM,EXXON MOBIL CORP,419894078640.00006
2011-04-01,2,14593,7,AAPL,APPLE INC,318605673440.0
2011-04-01,3,14541,20440,CVX,CHEVRON CORP NEW,217446984000.0
2011-04-01,4,12060,20792,GE,GENERAL ELECTRIC CO,215980066260.0
2011-04-01,5,10107,8048,MSFT,MICROSOFT CORP,214821880000.0
2011-04-01,6,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,200333178720.0
2011-04-01,7,47896,20436,JPM,JPMORGAN CHASE & CO,184635688500.0
2011-04-01,8,55976,21880,WMT,WALMART INC,181996203870.0
2011-04-01,9,66093,21645,T,A T & T INC,181210568520.0
2011-04-01,10,18163,21446,PG,PROCTER & GAMBLE CO,173872670720.0
2011-04-01,11,10104,8045,ORCL,ORACLE CORP,172158754320.00003
2011-04-01,12,38703,21305,WFC,WELLS FARGO & CO NEW,169263879820.00003
2011-04-01,13,22111,21018,JNJ,JOHNSON & JOHNSON,163019614140.00003
2011-04-01,14,21936,21394,PFE,PFIZER INC,162860900560.0
2011-04-01,15,11308,20468,KO,COCA COLA CO,154278504160.0
2011-04-01,16,90319,45483,GOOGL,ALPHABET INC,149530103473.3
2011-04-01,17,59408,3151,BAC,BANK OF AMERICA CORP,135319842350.0
2011-04-01,18,70519,20483,C,CITIGROUP INC,129577658750.0
2011-04-01,19,14277,21576,SLB,SCHLUMBERGER LTD,127417101700.0
2011-04-01,20,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,116687780760.0
2011-04-01,21,13928,21401,COP,CONOCOPHILLIPS,113914352640.00002
2011-04-01,22,65875,20288,VZ,VERIZON COMMUNICATIONS INC,107716000000.0
2011-04-01,23,59328,2367,INTC,INTEL CORP,105225920000.0
2011-04-01,24,13856,21384,PEP,PEPSICO INC,104381675100.0
2011-04-01,25,22752,21188,MRK,MERCK & CO INC NEW,101957488670.0
2011-04-01,26,76076,10486,CSCO,CISCO SYSTEMS INC,94197034800.0
2011-04-01,27,77178,11253,QCOM,QUALCOMM INC,90747020000.0
2011-04-01,28,27828,20908,HPQ,H P INC,88677892380.0
2011-04-01,29,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,88525825120.0
2011-04-01,30,34833,21322,OXY,OCCIDENTAL PETROLEUM CORP,84782445300.0
2011-07-01,1,11850,20678,XOM,EXXON MOBIL CORP,403988312860.0
2011-07-01,2,14593,7,AAPL,APPLE INC,318169076309.04004
2011-07-01,3,10107,8048,MSFT,MICROSOFT CORP,217943520000.0
2011-07-01,4,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,211402835887.99997
2011-07-01,5,14541,20440,CVX,CHEVRON CORP NEW,209245985690.0
2011-07-01,6,12060,20792,GE,GENERAL ELECTRIC CO,203624582400.0
2011-07-01,7,66093,21645,T,A T & T INC,187608960000.0
2011-07-01,8,55976,21880,WMT,WALMART INC,185816685600.0
2011-07-01,9,22111,21018,JNJ,JOHNSON & JOHNSON,184478923900.0
2011-07-01,10,18163,21446,PG,PROCTER & GAMBLE CO,179396465380.0
2011-07-01,11,10104,8045,ORCL,ORACLE CORP,167415270750.0
2011-07-01,12,47896,20436,JPM,JPMORGAN CHASE & CO,165225822299.99997
2011-07-01,13,21936,21394,PFE,PFIZER INC,163948447500.0
2011-07-01,14,11308,20468,KO,COCA COLA CO,155875304860.0
2011-07-01,15,38703,21305,WFC,WELLS FARGO & CO NEW,151638468330.0
2011-07-01,16,90319,45483,GOOGL,ALPHABET INC,132252542316.59999
2011-07-01,17,70519,20483,C,CITIGROUP INC,124609280000.0
2011-07-01,18,59328,2367,INTC,INTEL CORP,119071050000.0
2011-07-01,19,14277,21576,SLB,SCHLUMBERGER LTD,118867943999.99998
2011-07-01,20,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,118708800750.0
2011-07-01,21,59408,3151,BAC,BANK OF AMERICA CORP,112374559670.0
2011-07-01,22,13856,21384,PEP,PEPSICO INC,110946104259.99998
2011-07-01,23,22752,21188,MRK,MERCK & CO INC NEW,109882426000.0
2011-07-01,24,13928,21401,COP,CONOCOPHILLIPS,107256911160.0
2011-07-01,25,65875,20288,VZ,VERIZON COMMUNICATIONS INC,106939148399.99998
2011-07-01,26,77178,11253,QCOM,QUALCOMM INC,97064760000.0
2011-07-01,27,84788,15473,AMZN,AMAZON COM INC,95108464540.0
2011-07-01,28,43449,21177,MCD,MCDONALDS CORP,88868470050.00002
2011-07-01,29,76076,10486,CSCO,CISCO SYSTEMS INC,87232934100.0
2011-07-01,30,34833,21322,OXY,OCCIDENTAL PETROLEUM CORP,85774570000.0
2011-10-01,1,14593,7,AAPL,APPLE INC,348107173492.77
2011-10-01,2,11850,20678,XOM,EXXON MOBIL CORP,345939482250.0
2011-10-01,3,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,206956422677.22
2011-10-01,4,10107,8048,MSFT,MICROSOFT CORP,206297300000.0
2011-10-01,5,14541,20440,CVX,CHEVRON CORP NEW,180028112040.0
2011-10-01,6,55976,21880,WMT,WALMART INC,179087258520.0
2011-10-01,7,18163,21446,PG,PROCTER & GAMBLE CO,172684697040.00003
2011-10-01,8,22111,21018,JNJ,JOHNSON & JOHNSON,170121176320.0
2011-10-01,9,66093,21645,T,A T & T INC,166876160000.0
2011-10-01,10,12060,20792,GE,GENERAL ELECTRIC CO,155718950530.0
2011-10-01,11,11308,20468,KO,COCA COLA CO,150210600320.0
2011-10-01,12,10104,8045,ORCL,ORACLE CORP,140946179880.0
2011-10-01,13,21936,21394,PFE,PFIZER INC,135210860910.0
2011-10-01,14,90319,45483,GOOGL,ALPHABET INC,124084647255.87
2011-10-01,15,38703,21305,WFC,WELLS FARGO & CO NEW,122386714380.0
2011-10-01,16,47896,20436,JPM,JPMORGAN CHASE & CO,111707782500.0
2011-10-01,17,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,108481501759.99998
2011-10-01,18,59328,2367,INTC,INTEL CORP,105533160000.0
2011-10-01,19,65875,20288,VZ,VERIZON COMMUNICATIONS INC,102878540000.00002
2011-10-01,20,22752,21188,MRK,MERCK & CO INC NEW,97260761290.0
2011-10-01,21,84788,15473,AMZN,AMAZON COM INC,96450900000.0
2011-10-01,22,13856,21384,PEP,PEPSICO INC,95415255450.0
2011-10-01,23,43449,21177,MCD,MCDONALDS CORP,88751307039.99998
2011-10-01,24,13928,21401,COP,CONOCOPHILLIPS,83740794750.0
2011-10-01,25,76076,10486,CSCO,CISCO SYSTEMS INC,81765567450.0
2011-10-01,26,77178,11253,QCOM,QUALCOMM INC,80099650000.0
2011-10-01,27,20482,20017,ABT,ABBOTT LABORATORIES,78062336550.0
2011-10-01,28,14277,21576,SLB,SCHLUMBERGER LTD,77885463240.0
2011-10-01,29,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,74750797240.00002
2011-10-01,30,70519,20483,C,CITIGROUP INC,67433801390.0
2012-01-01,1,11850,20678,XOM,EXXON MOBIL CORP,412215888000.0
2012-01-01,2,14593,7,AAPL,APPLE INC,383354372542.14
2012-01-01,3,10107,8048,MSFT,MICROSOFT CORP,224578985815.0
2012-01-01,4,14541,20440,CVX,CHEVRON CORP NEW,219800089080.0
2012-01-01,5,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,219576533400.0
2012-01-01,6,55976,21880,WMT,WALMART INC,206611970010.0
2012-01-01,7,12060,20792,GE,GENERAL ELECTRIC CO,193832964359.99997
2012-01-01,8,18163,21446,PG,PROCTER & GAMBLE CO,183870715600.0
2012-01-01,9,66093,21645,T,A T & T INC,180031880000.0
2012-01-01,10,22111,21018,JNJ,JOHNSON & JOHNSON,179908332119.99997
2012-01-01,11,90319,45483,GOOGL,ALPHABET INC,172924081363.72
2012-01-01,12,21936,21394,PFE,PFIZER INC,168882664989.99997
2012-01-01,13,11308,20468,KO,COCA COLA CO,159304212480.0
2012-01-01,14,38703,21305,WFC,WELLS FARGO & CO NEW,149926344180.0
2012-01-01,15,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,136509415380.0
2012-01-01,16,47896,20436,JPM,JPMORGAN CHASE & CO,132915814679.99998
2012-01-01,17,10104,8045,ORCL,ORACLE CORP,129993274005.0
2012-01-01,18,59328,2367,INTC,INTEL CORP,122700000000.0
2012-01-01,19,22752,21188,MRK,MERCK & CO INC NEW,116735374300.0
2012-01-01,20,65875,20288,VZ,VERIZON COMMUNICATIONS INC,112479245429.99998
2012-01-01,21,13856,21384,PEP,PEPSICO INC,103810424000.00002
2012-01-01,22,43449,21177,MCD,MCDONALDS CORP,101134867120.0
2012-01-01,23,76076,10486,CSCO,CISCO SYSTEMS INC,100152346320.0
2012-01-01,24,13928,21401,COP,CONOCOPHILLIPS,98478401630.0
2012-01-01,25,14277,21576,SLB,SCHLUMBERGER LTD,94069611340.0
2012-01-01,26,77178,11253,QCOM,QUALCOMM INC,93240490000.0
2012-01-01,27,20482,20017,ABT,ABBOTT LABORATORIES,88358189120.0
2012-01-01,28,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,82901571920.0
2012-01-01,29,70519,20483,C,CITIGROUP INC,82828647640.0
2012-01-01,30,84788,15473,AMZN,AMAZON COM INC,81458650000.0
2012-04-01,1,14593,7,AAPL,APPLE INC,578407914660.0
2012-04-01,2,11850,20678,XOM,EXXON MOBIL CORP,410380152469.99994
2012-04-01,3,10107,8048,MSFT,MICROSOFT CORP,271236000000.0
2012-04-01,4,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,242704929140.0
2012-04-01,5,14541,20440,CVX,CHEVRON CORP NEW,214105526100.0
2012-04-01,6,12060,20792,GE,GENERAL ELECTRIC CO,211836765140.0
2012-04-01,7,55976,21880,WMT,WALMART INC,208902451680.0
2012-04-01,8,66093,21645,T,A T & T INC,186459250400.0
2012-04-01,9,18163,21446,PG,PROCTER & GAMBLE CO,186087196440.0
2012-04-01,10,38703,21305,WFC,WELLS FARGO & CO NEW,182131287380.0
2012-04-01,11,22111,21018,JNJ,JOHNSON & JOHNSON,181768299299.99997
2012-04-01,12,47896,20436,JPM,JPMORGAN CHASE & CO,176094816800.0
2012-04-01,13,21936,21394,PFE,PFIZER INC,170270566290.0
2012-04-01,14,11308,20468,KO,COCA COLA CO,167895516360.0
2012-04-01,15,90319,45483,GOOGL,ALPHABET INC,167877028649.96002
2012-04-01,16,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,153901008739.99997
2012-04-01,17,10104,8045,ORCL,ORACLE CORP,146914880180.0
2012-04-01,18,59328,2367,INTC,INTEL CORP,142070280000.0
2012-04-01,19,22752,21188,MRK,MERCK & CO INC NEW,117224748080.0
2012-04-01,20,77178,11253,QCOM,QUALCOMM INC,116895519999.99998
2012-04-01,21,76076,10486,CSCO,CISCO SYSTEMS INC,114128026220.00002
2012-04-01,22,65875,20288,VZ,VERIZON COMMUNICATIONS INC,109224384480.0
2012-04-01,23,70519,20483,C,CITIGROUP INC,108055388309.99998
2012-04-01,24,13856,21384,PEP,PEPSICO INC,105948682160.0
2012-04-01,25,59408,3151,BAC,BANK OF AMERICA CORP,104268942800.0
2012-04-01,26,43449,21177,MCD,MCDONALDS CORP,100185168160.0
2012-04-01,27,13928,21401,COP,CONOCOPHILLIPS,97864350050.00002
2012-04-01,28,20482,20017,ABT,ABBOTT LABORATORIES,96291142680.0
2012-04-01,29,14277,21576,SLB,SCHLUMBERGER LTD,93211816320.00002
2012-04-01,30,84788,15473,AMZN,AMAZON COM INC,89122500000.0
2012-07-01,1,14593,7,AAPL,APPLE INC,555348869065.3201
2012-07-01,2,11850,20678,XOM,EXXON MOBIL CORP,399063921100.0
2012-07-01,3,10107,8048,MSFT,MICROSOFT CORP,256123360000.0
2012-07-01,4,55976,21880,WMT,WALMART INC,234648568350.0
2012-07-01,5,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,225886771720.00003
2012-07-01,6,12060,20792,GE,GENERAL ELECTRIC CO,217097942880.0
2012-07-01,7,66093,21645,T,A T & T INC,212240600000.00003
2012-07-01,8,14541,20440,CVX,CHEVRON CORP NEW,208827269640.0
2012-07-01,9,22111,21018,JNJ,JOHNSON & JOHNSON,186753296000.0
2012-07-01,10,38703,21305,WFC,WELLS FARGO & CO NEW,178281982450.0
2012-07-01,11,11308,20468,KO,COCA COLA CO,178039574000.0
2012-07-01,12,21936,21394,PFE,PFIZER INC,172189687320.0
2012-07-01,13,18163,21446,PG,PROCTER & GAMBLE CO,167667086140.0
2012-07-01,14,90319,45483,GOOGL,ALPHABET INC,151841656632.47998
2012-07-01,15,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,151795107000.0
2012-07-01,16,10104,8045,ORCL,ORACLE CORP,145474266270.0
2012-07-01,17,47896,20436,JPM,JPMORGAN CHASE & CO,138105842480.00003
2012-07-01,18,59328,2367,INTC,INTEL CORP,133671645000.0
2012-07-01,19,65875,20288,VZ,VERIZON COMMUNICATIONS INC,127647612690.0
2012-07-01,20,22752,21188,MRK,MERCK & CO INC NEW,127289495250.0
2012-07-01,21,13856,21384,PEP,PEPSICO INC,110666163400.0
2012-07-01,22,84788,15473,AMZN,AMAZON COM INC,103652644520.0
2012-07-01,23,20482,20017,ABT,ABBOTT LABORATORIES,101688260330.0
2012-07-01,24,77178,11253,QCOM,QUALCOMM INC,95298480000.0
2012-07-01,25,76076,10486,CSCO,CISCO SYSTEMS INC,91495493320.0
2012-07-01,26,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,90372866850.00002
2012-07-01,27,43449,21177,MCD,MCDONALDS CORP,89510859600.0
2012-07-01,28,26403,20587,DIS,DISNEY WALT CO,87080422800.0
2012-07-01,29,59408,3151,BAC,BANK OF AMERICA CORP,86752362550.00002
2012-07-01,30,14277,21576,SLB,SCHLUMBERGER LTD,86600996759.99998
2012-10-01,1,14593,7,AAPL,APPLE INC,619304372512.08
2012-10-01,2,11850,20678,XOM,EXXON MOBIL CORP,423743200200.0
2012-10-01,3,55976,21880,WMT,WALMART INC,248914928200.0
2012-10-01,4,10107,8048,MSFT,MICROSOFT CORP,248364780000.0
2012-10-01,5,12060,20792,GE,GENERAL ELECTRIC CO,240847231640.0
2012-10-01,6,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,240519854250.0
2012-10-01,7,14541,20440,CVX,CHEVRON CORP NEW,230060915000.0
2012-10-01,8,66093,21645,T,A T & T INC,217779750000.0
2012-10-01,9,90319,45483,GOOGL,ALPHABET INC,201502244635.45
2012-10-01,10,18163,21446,PG,PROCTER & GAMBLE CO,191498304750.0
2012-10-01,11,22111,21018,JNJ,JOHNSON & JOHNSON,190594244329.99997
2012-10-01,12,21936,21394,PFE,PFIZER INC,186998531940.0
2012-10-01,13,38703,21305,WFC,WELLS FARGO & CO NEW,183291854200.00003
2012-10-01,14,11308,20468,KO,COCA COLA CO,172783843120.0
2012-10-01,15,47896,20436,JPM,JPMORGAN CHASE & CO,155634951380.0
2012-10-01,16,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,152911842619.99997
2012-10-01,17,10104,8045,ORCL,ORACLE CORP,152619503520.0
2012-10-01,18,22752,21188,MRK,MERCK & CO INC NEW,137708250880.00003
2012-10-01,19,65875,20288,VZ,VERIZON COMMUNICATIONS INC,130507055370.0
2012-10-01,20,84788,15473,AMZN,AMAZON COM INC,114160525470.0
2012-10-01,21,59328,2367,INTC,INTEL CORP,113365410000.0
2012-10-01,22,13856,21384,PEP,PEPSICO INC,109950828750.00002
2012-10-01,23,20482,20017,ABT,ABBOTT LABORATORIES,108409592720.0
2012-10-01,24,77178,11253,QCOM,QUALCOMM INC,105618460000.0
2012-10-01,25,76076,10486,CSCO,CISCO SYSTEMS INC,100722780479.99998
2012-10-01,26,59408,3151,BAC,BANK OF AMERICA CORP,96561472000.00002
2012-10-01,27,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,96318539460.0
2012-10-01,28,14277,21576,SLB,SCHLUMBERGER LTD,96315692240.0
2012-10-01,29,70519,20483,C,CITIGROUP INC,96038818250.0
2012-10-01,30,26403,20587,DIS,DISNEY WALT CO,93427899250.0
2013-01-01,1,14593,7,AAPL,APPLE INC,515524374359.19
2013-01-01,2,11850,20678,XOM,EXXON MOBIL CORP,404459317530.0
2013-01-01,3,55976,21880,WMT,WALMART INC,231624279119.99997
2013-01-01,4,10107,8048,MSFT,MICROSOFT CORP,231289880000.0
2013-01-01,5,12060,20792,GE,GENERAL ELECTRIC CO,223777642000.0
2013-01-01,6,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,221862159499.32
2013-01-01,7,14541,20440,CVX,CHEVRON CORP NEW,216053210590.0
2013-01-01,8,66093,21645,T,A T & T INC,198800000000.0
2013-01-01,9,22111,21018,JNJ,JOHNSON & JOHNSON,196316200080.0
2013-01-01,10,90319,45483,GOOGL,ALPHABET INC,193431766000.0
2013-01-01,11,21936,21394,PFE,PFIZER INC,190764292340.0
2013-01-01,12,18163,21446,PG,PROCTER & GAMBLE CO,189728289090.0
2013-01-01,13,38703,21305,WFC,WELLS FARGO & CO NEW,184512768649.99997
2013-01-01,14,47896,20436,JPM,JPMORGAN CHASE & CO,169770613320.0
2013-01-01,15,11308,20468,KO,COCA COLA CO,168642091200.00003
2013-01-01,16,10104,8045,ORCL,ORACLE CORP,164232762929.99997
2013-01-01,17,92602,52978,PM,PHILIP MORRIS INTERNATIONAL INC,144903767220.0
2013-01-01,18,59408,3151,BAC,BANK OF AMERICA CORP,129660278339.99998
2013-01-01,19,65875,20288,VZ,VERIZON COMMUNICATIONS INC,126346580000.00002
2013-01-01,20,22752,21188,MRK,MERCK & CO INC NEW,125676576480.0
2013-01-01,21,70519,20483,C,CITIGROUP INC,120966491250.0
2013-01-01,22,84788,15473,AMZN,AMAZON COM INC,116818740000.0
2013-01-01,23,77178,11253,QCOM,QUALCOMM INC,111111000000.0
2013-01-01,24,76076,10486,CSCO,CISCO SYSTEMS INC,107990104320.0
2013-01-01,25,13856,21384,PEP,PEPSICO INC,107243387820.0
2013-01-01,26,59328,2367,INTC,INTEL CORP,105702720000.0
2013-01-01,27,83443,540,BRK,BERKSHIRE HATHAWAY INC DEL,102500707600.00002
2013-01-01,28,66181,5085,HD,HOME DEPOT INC,94913962920.0
2013-01-01,29,14277,21576,SLB,SCHLUMBERGER LTD,94788498000.00002
2013-01-01,30,26403,20587,DIS,DISNEY WALT CO,90555434200.0
2013-04-01,1,11850,20678,XOM,EXXON MOBIL CORP,406690446500.0
2013-04-01,2,14593,7,AAPL,APPLE INC,403215717540.0
2013-04-01,3,55976,21880,WMT,WALMART INC,248348975490.0
2013-04-01,4,12060,20792,GE,GENERAL ELECTRIC CO,239360948999.99997
2013-04-01,5,10107,8048,MSFT,MICROSOFT CORP,238864890000.0
2013-04-01,6,12490,20990,IBM,INTERNATIONAL BUSINESS MACHS COR,236699633799.99997
2013-04-01,7,14541,20440,CVX,CHEVRON CORP NEW,232366107780.0
2013-04-01,8,22111,21018,JNJ,JOHNSON & JOHNSON,229161159480.00003
2013-04-01,9,90319,45483,GOOGL,ALPHABET INC,216453496350.00003
2013-04-01,10,18163,21446,PG,PROCTER & GAMBLE CO,212249282700.00003
2013-04-01,11,21936,21394,PFE,PFIZER INC,207233972960.0
2013-04-01,12,66093,21645,T,A T & T INC,204562435250.0
