,account_value
0,2106405.044442457
1,2075863.0700918976
2,2082419.5787433903
3,2094332.8019404304
4,2086787.9552255922
5,2090040.2657913507
6,2112088.3240286317
7,2129926.5736326696
8,2166731.2549047316
9,2179441.3603004944
10,2179804.789577105
11,2185329.453430074
12,2192756.9277882315
13,2193187.4815960648
14,2162833.245246226
15,2161564.8844042113
16,2178826.745977536
17,2157109.5997678735
18,2141487.8851527083
19,2135516.364040364
20,2137921.7347368915
21,2158723.0189783457
22,2163851.7268410185
23,2184502.450652341
24,2179046.9499730575
25,2184996.962093729
26,2193695.257619731
27,2170287.847985375
28,2174313.254270463
29,2166497.548674643
30,2149466.7507608486
31,2174107.8848226215
32,2166642.6887808573
33,2169588.5777919986
34,2178309.4855028754
35,2196289.7961789668
36,2181830.729289508
37,2176647.0363221127
38,2187179.5386394616
39,2181981.2829562477
40,2167942.711957026
41,2156936.3677169397
42,2156646.5881229397
43,2172675.762017539
44,2160715.821183166
45,2172928.280749793
46,2186274.489243219
47,2164867.8620493426
48,2175104.049451438
49,2164789.7076525
50,2169880.1691261115
51,2175528.0284854127
52,2174843.623428564
53,2181996.6973343445
54,2177643.2543387506
55,2182581.1729455222
56,2184039.4435559656
57,2176520.975744365
58,2184274.0833013956
59,2194995.034990868
60,2171317.838692706
61,2156963.207764874
62,2194730.8131101793
