,account_value
0,1265329.690469414
1,1277361.0934172287
2,1273373.3084647255
3,1278750.6268240642
4,1297896.9311227745
5,1328168.7090631162
6,1327649.8107389377
7,1304563.4278895904
8,1290886.1697500364
9,1288778.3882826793
10,1292570.907359062
11,1270907.2164969041
12,1281918.9478185407
13,1298555.9192896988
14,1291090.0555684662
15,1300352.4528235265
16,1306807.0162991814
17,1269422.4383255374
18,1244145.903944618
19,1210753.4627729359
20,1223192.0439289366
21,1224939.2815410632
22,1250674.9335393542
23,1258161.0039511821
24,1252623.9867584072
25,1267740.5025016842
26,1273023.4711675067
27,1296804.7940572503
28,1305232.680330589
29,1310467.9924673727
30,1302261.0120267693
31,1303593.4391403263
32,1303196.3167752654
33,1319316.3906256403
34,1323124.9491645051
35,1325514.2997886233
36,1320299.3646499175
37,1331380.8629433282
38,1341487.2096833328
39,1305412.2430427962
40,1301203.7906058454
41,1295638.2149177908
42,1279972.95151882
43,1302131.1099272815
44,1283693.3260965631
45,1284825.3385449818
46,1292401.2419483433
47,1292982.9592384505
48,1300459.533390439
49,1305614.4643206124
50,1304934.0668888818
51,1331429.3991476079
52,1329500.2400864772
53,1334123.4652714066
54,1347315.0537520328
55,1333959.0114447342
56,1347027.0358574663
57,1350692.5382617419
58,1351146.4934387472
59,1343568.3037424968
60,1345051.9267348754
61,1334106.518859664
62,1356661.3279487155
