,account_value
0,1541043.9064022498
1,1560257.6016286896
2,1537341.51135209
3,1539436.8350473903
4,1551295.9739634963
5,1559063.89568312
6,1546550.2100206744
7,1535625.184404367
8,1517169.9558544727
9,1530527.007274398
10,1529242.0755851394
11,1487153.8832045905
12,1475989.9352223224
13,1499740.3080256083
14,1496933.8761016233
15,1489264.4061164937
16,1484525.4528010283
17,1464216.042802616
18,1434608.3796490224
19,1397464.7960472398
20,1417528.8221701905
21,1410729.1281038253
22,1434183.2444711153
23,1442479.8814892117
24,1438589.7764938837
25,1456791.154773317
26,1463248.904882718
27,1487197.60421916
28,1483033.5743034657
29,1491983.5764837114
30,1497677.1021470893
31,1498277.9981192881
32,1481386.1543645465
33,1496629.2986840573
34,1494586.5885381496
35,1494801.1091133035
36,1485202.6665741557
37,1493871.5887535205
38,1508228.0231999375
39,1475656.267154889
40,1469355.2506675473
41,1461051.4739596182
42,1443511.573954083
43,1462420.1160116466
44,1478091.4594327305
45,1490206.5985115017
46,1505154.133554643
47,1521040.2223869506
48,1531170.470212161
49,1540961.7947728303
50,1535602.1841391793
51,1573178.0458761016
52,1565107.211153777
53,1568451.5267504444
54,1585988.426233075
55,1579045.894073402
56,1593742.5762371034
57,1592036.8785415948
58,1598672.9019318125
59,1591332.6173682031
60,1590300.638135246
61,1583979.841271932
62,1590761.330799017
