,account_value
0,1343929.578507126
1,1342038.8813014121
2,1354629.7397750032
3,1352215.794922473
4,1377596.1245271137
5,1374778.387875401
6,1376724.8192023954
7,1391694.5895249774
8,1413369.4991962614
9,1417756.795225903
10,1411504.0977861707
11,1408007.6135159517
12,1397639.2747542658
13,1396507.3177745817
14,1385790.0958370399
15,1393412.697265752
16,1385972.1868101726
17,1381329.2265026409
18,1363124.4863250616
19,1369994.805051776
20,1360683.5966193178
21,1369643.4140014395
22,1443562.211247948
23,1426227.7050640206
24,1420015.7600040736
25,1424561.141521495
26,1418694.8935387256
27,1413358.449460789
28,1411768.3343518458
29,1416907.3718206948
30,1424366.3444526256
31,1417379.327234525
32,1413315.342047309
33,1427249.895321136
34,1449626.4257248985
35,1464775.76684744
36,1470444.0760196599
37,1470316.6078907915
38,1475718.0772915964
39,1468557.1248043892
40,1461642.1258153277
41,1462404.003977659
42,1462735.9507242655
43,1461027.3149788973
44,1453590.4590991272
45,1447520.3537545279
46,1446654.1823618393
47,1439611.404120213
48,1440660.7523171827
49,1442271.3826094796
50,1438209.9437380866
51,1401456.2177022328
52,1409898.9488622097
53,1430141.6001223887
54,1433215.2543584793
55,1448272.4147468195
56,1451930.9270155071
57,1441473.2502662996
58,1427806.0620279897
59,1428612.8208219102
60,1417087.325754131
61,1424691.1638573848
62,1423361.231861066
