,account_value
0,1715699.7865867093
1,1701434.440429304
2,1687746.4532165409
3,1694952.565715562
4,1694063.7772509765
5,1701763.222551919
6,1722893.9397778132
7,1734700.8921037007
8,1751745.7561254438
9,1742078.1972348082
10,1763084.6746189212
11,1755784.997977708
12,1772028.720443231
13,1769754.1830021155
14,1772060.7134233355
15,1841191.6686760124
16,1821357.6453262896
17,1824755.594850571
18,1839476.0280147353
19,1851019.1201430103
20,1836251.4763960436
21,1820326.1911537189
22,1822319.9885604605
23,1845614.8958063025
24,1857566.0916313562
25,1873119.408732719
26,1866851.1143919195
27,1879823.4349402126
28,1891986.8344476211
29,1881494.3705645015
30,1869908.2175579679
31,1881615.2362035892
32,1879566.369505775
33,1854217.3376060214
34,1850468.9312793226
35,1860020.702176796
36,1843111.7730116432
37,1809338.6974398948
38,1820895.9626510662
39,1805745.0026732418
40,1826735.2432155495
41,1794921.3934371416
42,1778985.197939593
43,1776722.8416791735
44,1765998.2633504719
45,1782168.7563197121
46,1798724.9402629694
47,1784364.2869488709
48,1823379.149180719
49,1804259.1749280158
50,1814213.7281764245
51,1832931.1389044693
52,1832982.5839201384
53,1828522.9951640004
54,1825649.56268879
55,1798059.1967784488
56,1810354.1917288196
57,1789697.4906298988
58,1793270.8327787577
59,1714826.2970511015
60,1605897.7272546384
61,1595114.9682212365
62,1576843.6187412709
