,account_value
0,1000000.0
1,1000915.7466810531
2,1003809.9051657409
3,1004962.7905262068
4,1004872.7373644635
5,1004508.3158199879
6,1006011.6552365415
7,1006914.4808959656
8,1005926.5306875875
9,1001242.5493092418
10,999152.1502923656
11,1003812.9782121883
12,1007509.1248883891
13,1003923.1644121051
14,1002451.1133838382
15,999739.9692999608
16,984373.9938303563
17,986216.2213485066
18,978641.1568066897
19,981572.7994328801
20,989200.9935854833
21,989116.4601370733
22,1002149.8894481505
23,1006409.824411148
24,1012390.5422857893
25,1010708.24826342
26,1013194.9033802513
27,1013329.5571473964
28,1015436.3975659951
29,1018490.8464639417
30,1026450.4633968128
31,1024913.1387257602
32,1019816.6448498868
33,1017482.6571464511
34,1016831.4814150787
35,1021134.4622235824
36,1013468.174440549
37,1008099.8291272285
38,1022001.7571516074
39,1019231.9769593175
40,1017930.6263999195
41,1005402.6237281645
42,1016410.858551743
43,1030539.3524079358
44,1032610.1348452077
45,1048077.5528608059
46,1051717.9282735323
47,1059528.8874704703
48,1063883.4305038946
49,1060446.8374655796
50,1063385.6228334822
51,1060570.066701424
52,1040010.3780472019
53,1035561.6577926887
54,1028778.108202979
55,1027000.8717348201
56,1030309.9462027554
57,1041639.1134821355
58,1041337.9875411015
59,1045488.7860549453
60,1036045.8970229656
61,1041041.763080651
62,1047345.8295796303
