,account_value
0,1000000.0
1,1000526.2315359747
2,1002096.6038143161
3,1002004.0429595037
4,1001995.0149567534
5,1002101.20676212
6,1002192.9977847412
7,1001958.8706393443
8,1001736.1892114478
9,999424.829086007
10,999378.0321563424
11,1000629.5640755469
12,999332.5746517341
13,996660.2380525061
14,996118.8886221929
15,995980.3455006031
16,991761.2091082843
17,993597.0200575069
18,993084.4420753481
19,993150.0789482119
20,994242.8017981075
21,994146.1698867131
22,996268.6298473759
23,997045.2306152001
24,1002114.1780767632
25,1002179.8531165239
26,1003009.8933965781
27,1002670.3719452082
28,1001838.891459744
29,1003861.767984631
30,1004033.0520452885
31,1000415.4543809495
32,1000872.5045489564
33,1007180.542097899
34,1009819.6906752076
35,1010919.4429556947
36,1006318.5130672633
37,1004311.8096202114
38,1008733.0223112535
39,1007952.4054217116
40,1006984.5431796482
41,1002189.333182883
42,1007037.4405827088
43,1019941.8334317192
44,1011859.246898459
45,1017174.6353328385
46,1017441.6064322038
47,1018637.7424856459
48,1022148.1559349084
49,1018765.4691472154
50,1023430.3007548797
51,1019279.5169020299
52,1015631.1002385167
53,1019187.1866256857
54,1014414.9051364965
55,1010567.9689631225
56,1014200.9074209988
57,1015961.5463362437
58,1015688.5460242683
59,1014767.7877913485
60,1010648.5857996722
61,1018696.5312158251
62,1021879.3946621544
