,account_value
0,1258517.6447048823
1,1269861.5014930828
2,1252312.567149159
3,1249001.073196746
4,1230015.0403799114
5,1208742.2390542466
6,1214311.077106274
7,1220312.933747461
8,1217408.9597292228
9,1196167.9381418452
10,1187204.937064626
11,1170288.6119601536
12,1152678.3358028643
13,1139429.6594567697
14,1156947.9302437797
15,1162282.4183715535
16,1155779.2881515874
17,1154074.4784893221
18,1181613.2189569562
19,1189801.895415585
20,1211279.7861382137
21,1220813.577684144
22,1200093.3089507618
23,1193409.4987955038
24,1193663.165810247
25,1199506.183812467
26,1206833.8378451369
27,1189603.6389924544
28,1179955.1713861101
29,1178702.9734334196
30,1189980.520442593
31,1187299.6299423738
32,1175778.833201583
33,1168501.1237005913
34,1114768.2140430058
35,1096692.7113646506
36,1097658.7941418602
37,1118955.872943658
38,1118956.3421165077
39,1105834.8671921706
40,1123493.571992564
41,1116230.00589628
42,1111705.9069629568
43,1095642.8573956802
44,1090377.5551085812
45,1097870.7554195193
46,1101937.790720332
47,1097043.0066894768
48,1099171.3609283762
49,1115693.0110251475
50,1127574.692204421
51,1146523.7786493027
52,1158454.0877783108
53,1144131.2662444124
54,1149201.5091581494
55,1126051.124878535
56,1130143.2147568283
57,1129806.830548095
58,1130952.8816018212
59,1143156.354545115
60,1131368.9602844808
61,1110571.4148778352
62,1119508.3696512408
