,account_value
0,1149163.7400750753
1,1139832.0565430203
2,1139486.4853191203
3,1148837.7206380977
4,1153044.8214326915
5,1136209.2335628797
6,1141378.4649107342
7,1150636.0833044797
8,1148983.3408388654
9,1147696.9830878277
10,1159893.3918633177
11,1163308.7734437962
12,1150238.0705089895
13,1124397.4514252415
14,1123937.5519339791
15,1104221.8121552602
16,1106179.7847793219
17,1128067.139531748
18,1100705.3086047613
19,1107428.160548525
20,1111387.4367753125
21,1145314.2170080054
22,1123981.9688806706
23,1126566.2972039701
24,1097990.7806389504
25,1087752.9219723474
26,1090701.7487749865
27,1098359.445322403
28,1114420.967684227
29,1121672.8632846186
30,1141026.124874117
31,1099929.3684352036
32,1088503.2898802797
33,1090931.9291086008
34,1116189.370011448
35,1119024.7340013466
36,1126043.461651371
37,1137954.8067702372
38,1155892.469785389
39,1146869.6946386148
40,1141272.7611588556
41,1149505.6441334803
42,1142017.1139229853
43,1142639.7693604548
44,1147371.7393139917
45,1138496.3128213007
46,1114884.9988926966
47,1092693.6636571009
48,1068310.596360119
49,1058809.1854085047
50,1064430.6690339167
51,1045741.7891167718
52,1039674.5153046037
53,1059729.8971710587
54,1057085.4840469742
55,1065702.942970314
56,1092539.5271912003
57,1093958.823516884
58,1082195.5032463456
59,1080203.0981293106
60,1072948.960750618
61,1085549.6489029313
62,1076048.1751823807
