,account_value
0,1378533.5918136705
1,1333204.635096911
2,1350810.8403300962
3,1371471.5001824973
4,1357578.0530794212
5,1345788.0601973739
6,1370621.1866448552
7,1345203.6843958134
8,1377403.6334756124
9,1401516.2636882935
10,1430293.4801887963
11,1432448.8697505698
12,1441043.1143499832
13,1446281.2103506108
14,1452171.1019190927
15,1458084.5203633117
16,1489222.3192299725
17,1486659.9971370408
18,1474510.6517341458
19,1476937.4855858875
20,1494688.7691455558
21,1498178.241898023
22,1549291.454866534
23,1576896.3864322025
24,1573479.0442470596
25,1588306.803113164
26,1599232.604946503
27,1594648.068104803
28,1588147.029539703
29,1560314.1045449604
30,1565892.378822721
31,1562640.0125747793
32,1586653.1097789463
33,1575928.513892849
34,1587838.128655878
35,1580955.080150106
36,1579417.388043542
37,1592488.2627320685
38,1589086.8938813936
39,1586128.6488451678
40,1603950.7565366104
41,1622739.9366766168
42,1626458.6734163011
43,1637539.9199268543
44,1623006.1394258332
45,1603187.8037355817
46,1622115.5930574168
47,1605520.8323204718
48,1611000.6046154448
49,1614921.9451449541
50,1637400.375531158
51,1658922.3449171549
52,1653527.0337495515
53,1685649.0122021688
54,1709185.257414769
55,1720286.8533218005
56,1729189.3712262
57,1747690.8162899786
58,1756777.0532305003
59,1740334.020007245
60,1737839.411872824
61,1762519.0926641102
62,1780007.7956397745
