,account_value
0,1178295.122127292
1,1179073.7934887873
2,1164687.313288042
3,1163994.8985641121
4,1162513.167138035
5,1161012.812110889
6,1165112.4415546742
7,1154097.468221517
8,1150019.932746593
9,1136314.0404136963
10,1107744.6501990187
11,1093961.1850737527
12,1085413.6495070194
13,1072928.1142326856
14,1070449.936033061
15,1062507.6154570873
16,1057694.6614877966
17,1053467.3714773385
18,1084408.7252475866
19,1102271.2039545309
20,1108978.7987850606
21,1115929.0091266518
22,1104086.0493089533
23,1109483.2646734028
24,1109162.993186297
25,1114496.4179431337
26,1123619.242240007
27,1110354.4209498183
28,1094559.099623306
29,1087974.6420214076
30,1100229.6076008587
31,1096741.8007642184
32,1082627.0385778924
33,1080202.5244440178
34,1074494.8663424603
35,1054497.2593194668
36,1054087.7301233376
37,1075260.7977900791
38,1062498.0645018478
39,1039656.8426259253
40,1056297.0325587485
41,1046475.7326877547
42,1038001.7388241197
43,1004554.1225247273
44,995912.2027361853
45,1014253.7488066317
46,1003481.185988446
47,1004109.4055931921
48,995533.4644896106
49,1019767.9623837658
50,1044294.2578586881
51,1048277.6973996233
52,1055405.7454391369
53,1045548.6561712608
54,1057735.3973734525
55,1045263.317165945
56,1057441.3169833624
57,1063056.5818087806
58,1064753.7787081562
59,1082898.3548418647
60,1080734.877591488
61,1067202.176009701
62,1070026.5366991144
