,account_value
0,1094364.2468071405
1,1093736.4094962955
2,1081676.7299129483
3,1101635.0228601587
4,1109237.4689934864
5,1096078.5012350637
6,1097465.9182371038
7,1101083.5535914337
8,1090259.8967782806
9,1066068.411915332
10,1086649.2772458438
11,1096927.0345186805
12,1094073.9723641854
13,1108052.5920187102
14,1106749.5727713092
15,1102671.8899362646
16,1097504.5518233466
17,1102963.0389765094
18,1101158.7066420154
19,1096216.585848439
20,1105513.4719867776
21,1100027.9936125462
22,1109224.5190937303
23,1109644.447500846
24,1106827.4656934382
25,1111315.3562135806
26,1118612.500379051
27,1112883.3692672257
28,1109246.495802633
29,1117941.7793506715
30,1100361.3971436946
31,1093201.999703002
32,1091235.2340912176
33,1102672.3401309922
34,1103525.796869232
35,1099786.258293402
36,1103745.9219397965
37,1094802.386424038
38,1102553.6859630381
39,1100560.7234512283
40,1097632.883481964
41,1094787.6909060397
42,1097254.4478066706
43,1097274.909369781
44,1092653.8920362955
45,1093900.02056255
46,1093429.0853838911
47,1089138.5878237141
48,1095277.5613618242
49,1086014.7614987
50,1090366.978641036
51,1093636.0248778458
52,1091436.463192632
53,1076089.4265111596
54,1083166.2803927201
55,1093660.954071446
56,1107323.3815433218
57,1107833.2453321915
58,1112152.29649697
59,1092779.327609211
60,1099158.6942143228
61,1079097.085415881
62,1100538.1498263546
