,account_value
0,1133112.6232018664
1,1143956.9675385968
2,1142642.46684497
3,1146051.373079143
4,1142651.7011718457
5,1136423.4605475422
6,1126060.131802126
7,1114397.819444082
8,1127444.4926714199
9,1139575.2440347504
10,1148535.9310266844
11,1139995.0555428474
12,1135550.737038697
13,1143119.9962445807
14,1140896.0453577798
15,1144384.7804420623
16,1141145.1489871205
17,1132090.8927511487
18,1146714.3250450941
19,1151836.7046160707
20,1150736.1118676306
21,1157896.6441537493
22,1162555.8472738094
23,1158608.2824938484
24,1152874.5651218595
25,1158324.8677295062
26,1139974.6392925982
27,1143083.4515016584
28,1155742.653388834
29,1150309.4960956592
30,1141457.2536243235
31,1146791.2146823104
32,1157867.8490003066
33,1158360.6709458092
34,1155436.9224861502
35,1157936.462868013
36,1156736.4568454493
37,1158839.916554453
38,1157158.2994966342
39,1150619.9082427155
40,1137850.096600753
41,1138283.1741149246
42,1146414.0051108175
43,1146735.3382484477
44,1145123.2537247927
45,1149739.9384437087
46,1155949.9053944254
47,1155281.445320465
48,1162404.9166247672
49,1167883.7907423559
50,1176980.6675264302
51,1194766.8359385377
52,1193089.8524689558
53,1184869.042238519
54,1179760.9000593035
55,1173983.234117189
56,1196431.6893966096
57,1199206.3933453488
58,1198245.725775549
59,1186842.2094561104
60,1198717.5654581008
61,1181882.9003187292
62,1194348.873152908
