,account_value
0,1182144.7772050584
1,1190975.7324446153
2,1189881.637118992
3,1186159.635599654
4,1178791.1527694534
5,1172676.677024694
6,1157395.1926269173
7,1171316.3598052664
8,1162602.5523605894
9,1192534.5890537337
10,1194768.049683872
11,1197004.9032131503
12,1188970.322467025
13,1201554.5849132189
14,1198079.1312262379
15,1208177.7919959878
16,1210258.4969769379
17,1236156.8220733486
18,1224547.9553684085
19,1208052.3385060176
20,1219735.179887584
21,1213209.957179723
22,1222304.9445637767
23,1222655.5739168052
24,1231665.60581393
25,1254663.754488616
26,1269769.2385762187
27,1288190.0211506293
28,1290857.2795323762
29,1294417.483512953
30,1294094.701525944
31,1296388.1179884668
32,1283672.6228490435
33,1261318.038683888
34,1266798.884421032
35,1266433.8499248459
36,1282255.77281477
37,1250779.309974604
38,1245004.2490040432
39,1225732.0759202722
40,1214280.413530929
41,1214701.190242039
42,1207222.6072145137
43,1200596.6939380763
44,1209715.3761473203
45,1218127.451301109
46,1234472.1290954852
47,1251830.7730687913
48,1207862.467951408
49,1213864.111406952
50,1210497.4606267915
51,1197538.5317864548
52,1210454.0525247736
53,1195208.4256507955
54,1168289.309533168
55,1161307.1379148222
56,1136453.6242435342
57,1115101.0050241326
58,1115794.8659282175
59,1135097.9974504479
60,1123943.3021738208
61,1109062.638622707
62,1141691.2927758172
