,account_value
0,1164339.2833599644
1,1176928.2996525706
2,1172456.2880472126
3,1170218.6704169444
4,1170749.8491677493
5,1161640.3176452273
6,1171634.6198797512
7,1172280.3048881434
8,1175517.8179073124
9,1167816.1328926678
10,1163064.75736273
11,1150106.90096327
12,1138506.695462553
13,1122687.8090979615
14,1123399.0047644596
15,1125306.4493523808
16,1112380.4196970577
17,1111997.5555291576
18,1127171.8867828199
19,1145444.2447370053
20,1167863.7479177914
21,1173966.393252941
22,1162917.0469796297
23,1166223.0190858918
24,1173910.1108538094
25,1172730.4375363865
26,1178066.1792214145
27,1171923.9425181523
28,1168472.803328829
29,1159409.9122702046
30,1166844.3355989095
31,1168572.3842591878
32,1155605.8573312399
33,1146314.8932008382
34,1129427.6740655538
35,1117214.6389741537
36,1113635.2482881185
37,1137306.3937539693
38,1137257.9748887655
39,1124301.8523301717
40,1139597.5372628805
41,1127238.4814614889
42,1126669.6119775411
43,1102627.6531800863
44,1107656.0554208395
45,1096179.900246584
46,1106384.728978121
47,1110150.4275979635
48,1094143.6720628378
49,1092944.526181185
50,1112220.6081666586
51,1124066.3781938192
52,1129928.3070878622
53,1129498.078686678
54,1137496.5752076742
55,1130904.2501992818
56,1141973.7967767355
57,1151953.5363587972
58,1143661.9137887594
59,1158061.87049576
60,1162112.9172982809
61,1144268.484105074
62,1151012.4350404378
