,account_value
0,1069827.1982392715
1,1062915.974271047
2,1057270.042445728
3,1060933.9002221802
4,1058485.04453182
5,1047514.1333482787
6,1044491.5098202291
7,1053528.7982523814
8,1044091.8392221716
9,1047760.2598867075
10,1065585.0649752896
11,1070814.531379477
12,1063057.3596974413
13,1034682.8771908393
14,1042846.9108524977
15,1019535.9753170055
16,1012093.7711717795
17,1036471.9184392969
18,1006834.0295784259
19,1007192.4634383047
20,1010401.3399132275
21,1043526.6099839284
22,1013562.8905752342
23,1014962.9858937908
24,998443.2677690339
25,994920.0734369996
26,983264.7098422894
27,977053.5608261266
28,991365.3433906853
29,986573.4660988506
30,997357.9211870652
31,959080.3498796134
32,937007.3703731041
33,946872.6021581001
34,968396.8155948166
35,976278.6351581194
36,982818.9578942192
37,1000904.6075464137
38,1018673.82084533
39,1016282.1203696151
40,1007366.5616127988
41,1016894.3745165571
42,1007588.6651828283
43,1008817.4112101684
44,1014128.4930474731
45,1002551.3600166683
46,983222.577863392
47,959934.9396644601
48,943864.6632394635
49,938610.872664368
50,943683.9178181305
51,920658.8050107642
52,925109.3011048828
53,941584.1650220269
54,944314.5110939133
55,943368.2247443163
56,963207.9169761261
57,957768.8244189293
58,945193.258141782
59,949266.8378650158
60,944882.0690356923
61,959276.669486525
62,954431.9571306915
