,account_value
0,1008300.3723734759
1,1002102.8757395925
2,1024338.4708687569
3,1014788.9597448346
4,1019073.6340698961
5,1022139.2035882832
6,1024229.3371522379
7,1029211.3474209945
8,1027933.8902020921
9,1007957.5632843918
10,999059.5269051914
11,1011635.7716008509
12,1018750.4549983052
13,1024727.5499889388
14,1028836.9642881567
15,1035005.6492907291
16,1048965.4392344789
17,1034954.0946387039
18,1032507.6228030806
19,1030248.0245018785
20,1027547.6475304177
21,1035711.6808447331
22,1035331.8937352453
23,1040274.8928643704
24,1033608.0105992794
25,1024459.5581036411
26,1029380.3992867905
27,1037331.8483422705
28,1031957.5351798906
29,1033966.8973292707
30,1023976.7177946934
31,1029570.8393818632
32,1008345.8520603963
33,1005939.9840878127
34,1005622.1151650314
35,998259.4259356448
36,1003604.1395432625
37,999974.889622205
38,1011005.3662375287
39,1017181.233400432
40,1030711.9251955774
41,1032098.7044637644
42,1011103.9076463582
43,1012727.6070842152
44,990935.4379295994
45,964652.9178048925
46,957831.4618139118
47,966600.465222297
48,948874.6559380495
49,955304.0497980817
50,942287.6844217468
51,958718.6774020001
52,972611.8879399918
53,954547.3162546253
54,953247.4524783281
55,950985.1258502016
56,955762.4995608178
57,958542.0347891446
58,971316.2729513304
59,975049.8713988152
60,990766.8642191109
61,996174.9799231251
62,966458.3632617398
