,account_value
0,1581031.282401625
1,1576329.7425739442
2,1594715.9822623485
3,1589814.9479227336
4,1604363.2467141587
5,1594208.146373449
6,1585883.3726590958
7,1602723.9846136535
8,1606898.6549666962
9,1606500.6610786724
10,1601823.5102211891
11,1595622.8453691523
12,1585268.7697863681
13,1576312.6355279132
14,1566499.5694874479
15,1570606.8992908392
16,1562750.7896554032
17,1546602.8617376843
18,1530139.2406639664
19,1543329.3378707934
20,1535785.687138486
21,1548199.1358789522
22,1613270.4220766965
23,1600410.1921530324
24,1573857.8527051306
25,1573171.7773523408
26,1556970.1902854892
27,1539772.7709932213
28,1534852.6619181568
29,1525730.1220629942
30,1534238.3936411946
31,1533332.158828684
32,1536464.7317362358
33,1559896.0960684386
34,1585085.1108983136
35,1613416.9760288573
36,1618180.1500921822
37,1612792.6542503214
38,1620213.7543947077
39,1610274.9541614628
40,1601963.8938038922
41,1601273.5450312472
42,1595313.0301650143
43,1591114.8821578599
44,1599998.5257466412
45,1583222.5994939185
46,1581959.6299253083
47,1573707.7540549613
48,1574119.351286707
49,1568869.2644494153
50,1564158.5056224442
51,1528311.7406099415
52,1527476.9986012555
53,1538472.901364503
54,1538203.753701148
55,1547694.5834748126
56,1548431.733701644
57,1541949.8709798432
58,1527542.9751698351
59,1530573.021738348
60,1516783.155788479
61,1523815.398023305
62,1521875.8537676907
