,account_value
0,953647.5024865953
1,963331.1602530362
2,962685.1946158756
3,958848.1805503524
4,954374.1977819889
5,953886.6651019112
6,947719.2184668714
7,965098.3779454342
8,956604.8227539596
9,978667.0815089057
10,976996.8405525124
11,977036.026776735
12,973403.4698345083
13,969576.795399697
14,973381.0818489218
15,985682.8331379807
16,999030.5990650394
17,1005406.2984182521
18,1004515.5482871062
19,991221.499393057
20,1003074.3297018333
21,999589.3789411775
22,998168.5053771858
23,994266.6408334579
24,1000324.3913981876
25,1015773.2500250973
26,1016184.606241133
27,1030793.6571854167
28,1038418.0680670871
29,1041210.5011167672
30,1038106.2593006673
31,1041189.2006899628
32,1033142.2522862025
33,1013103.4664746572
34,1007251.5803022267
35,1010080.8234388725
36,1020652.5178913254
37,993598.0522719596
38,986640.6704135552
39,978093.248634396
40,970433.5021213897
41,977942.2535178529
42,968276.0421044577
43,964502.2256566207
44,980820.3734342265
45,986375.3625527229
46,997250.4669643568
47,1010578.0065906598
48,974778.0854757538
49,977674.3840038079
50,968814.7076919185
51,964791.8134437376
52,975075.6859654622
53,967660.0164516984
54,946805.9101387005
55,933032.4414611299
56,920312.758362461
57,911017.0597517238
58,898489.0130977262
59,906017.9027001577
60,889244.5068895377
61,873035.9935107233
62,896747.599039282
