,account_value
0,1380636.828347234
1,1377823.3524242598
2,1418758.2897609067
3,1400731.9654812594
4,1415626.5598479563
5,1421084.800046235
6,1429936.6590314822
7,1441399.4087148723
8,1412576.7970483308
9,1393446.9094351765
10,1384748.151377253
11,1405339.756784536
12,1416056.7082519887
13,1438756.476518825
14,1436733.807445842
15,1445922.1693897585
16,1450470.2530139445
17,1439291.451857988
18,1441849.8529033877
19,1425289.6208326754
20,1411119.0748795571
21,1415946.3152092511
22,1425232.5179847463
23,1436592.5781799818
24,1426502.952765533
25,1414406.560115168
26,1417379.245843652
27,1427007.4741570468
28,1414828.3355576147
29,1423808.2988261639
30,1405107.8440842323
31,1413179.554158754
32,1392231.78949874
33,1389715.743421633
34,1388512.6390759714
35,1379831.148320353
36,1384327.4797047528
37,1382906.0412927282
38,1387401.0623809465
39,1393058.4502231062
40,1407507.1021046399
41,1406766.4353161019
42,1381261.3752634313
43,1375729.9027728385
44,1349704.6420252288
45,1331511.1001947422
46,1313910.429689143
47,1324148.0877092176
48,1295649.038946695
49,1319815.9468858626
50,1291276.455762705
51,1312634.2593668338
52,1337857.8957721929
53,1306375.3422447045
54,1303531.4946945647
55,1300695.2074469964
56,1306520.6107687198
57,1304798.108871003
58,1328678.3225797957
59,1332255.641590736
60,1347811.4494832766
61,1354216.5540330375
62,1330336.2652840524
