,account_value
0,954340.5941665405
1,965161.3085522503
2,965575.113382481
3,976880.1813410496
4,979794.1092589917
5,974189.0205300926
6,976010.2916201061
7,993277.1647854046
8,998834.286896109
9,996370.2697508549
10,991787.6770918011
11,989969.2277060704
12,987543.0101114697
13,1002758.9774354901
14,999154.9268988708
15,978749.4409888653
16,967851.5182529873
17,992389.5581922573
18,1000483.6969284081
19,998088.7579483513
20,1022870.2640938305
21,1029518.8224673657
22,1031646.8565598759
23,1040443.2111928944
24,1042010.5109005132
25,1024725.8245539097
26,1029762.2590202756
27,1021827.9716648812
28,1042373.6060136132
29,1052091.8967064538
30,1052490.8221094385
31,1047613.0541084389
32,1053632.1741812385
33,1053493.013030247
34,1064454.847718308
35,1066143.9072914433
36,1066691.8634411187
37,1073113.5920957054
38,1070729.3043267846
39,1077739.0987172418
40,1086972.6916030888
41,1089220.147350659
42,1091664.66630209
43,1091986.9569809537
44,1093318.2671268086
45,1095568.5500558782
46,1103385.261388903
47,1110764.0734799255
48,1125127.4488397546
49,1119972.1497962098
50,1121920.8638269105
51,1123823.855531485
52,1124160.2190451722
53,1108431.4139152437
54,1114283.119320828
55,1117647.016800839
56,1120594.3091497007
57,1120790.2199945035
58,1120973.081330258
59,1122332.0168218198
60,1124686.1003827634
61,1119248.7515325132
62,1115809.585406262
