,account_value
0,2017385.3254350037
1,2032504.5832557024
2,2041804.5814183822
3,2066448.367107165
4,2064383.677873897
5,2072462.4827010608
6,2040302.3776068022
7,2058058.6755035452
8,2052434.60995961
9,2052594.626388498
10,2057581.9985126676
11,2089162.6150316817
12,2075789.8862615053
13,2083334.7959400804
14,2102729.0885858894
15,2120959.887509587
16,2137520.281040833
17,2127654.2350855106
18,2117977.1441557556
19,2143801.104432076
20,2126315.8261185773
21,2124713.686738905
22,2138481.8344407
23,2123951.0286347927
24,2112548.9887728645
25,2133087.012923688
26,2146379.809513026
27,2135736.073268778
28,2147582.4962218474
29,2126644.4027631776
30,2132816.3650494446
31,2121037.0914208605
32,2126501.986374068
33,2132153.8275137176
34,2166025.361306599
35,2137470.8933674446
36,2142422.604993611
37,2114429.9683166672
38,2128274.5422369665
39,2123316.9298636853
40,2118520.985809316
41,2120582.0057896837
42,2088092.839280434
43,2080813.2489877124
44,2097892.499004193
45,2093462.2277657627
46,2079727.2702863768
47,2064087.3369596556
48,2044427.9266679836
49,2055452.1678903655
50,2053566.5894373015
51,2059680.574077423
52,2050063.4347684935
53,2024121.2609403685
54,2010711.8773439485
55,2054154.2111871794
56,2054487.7913244322
57,2058004.9074953154
58,2077400.178556259
59,2059906.983249481
60,2100418.8484151918
61,2100979.111436661
62,2089063.1953676299
