,account_value
0,1058874.793187744
1,1059227.5754211196
2,1059542.19426424
3,1065983.9984008293
4,1060306.337616474
5,1061632.8492512626
6,1065064.1380872573
7,1075944.213325531
8,1073049.6837124939
9,1065442.5316283416
10,1054787.3290335846
11,1062598.1174666595
12,1053574.0211837005
13,1059298.1087195587
14,1057071.7593772125
15,1058262.2416312408
16,1055110.3346831512
17,1060624.1149451446
18,1052857.8858687591
19,1065155.9360282135
20,1066416.8681990814
21,1064676.2224662018
22,1072947.158653946
23,1085203.8143050384
24,1082955.4106909942
25,1064997.1766173553
26,1048094.6478926848
27,1055461.3073241424
28,1069200.2602965545
29,1073009.5175902557
30,1066177.6795470428
31,1058397.6209685516
32,1064631.9955641937
33,1075004.911450119
34,1081056.828800888
35,1081267.6000563812
36,1082353.1741187286
37,1087882.402794571
38,1081994.2869307708
39,1090059.3592345428
40,1095109.475941391
41,1093596.8313681793
42,1094491.2942282867
43,1092634.4792372894
44,1094349.3137252044
45,1091817.8019683075
46,1097592.4317443084
47,1092615.7272116852
48,1090186.3680884552
49,1097704.4140402984
50,1087281.0631072235
51,1081519.6011397552
52,1066448.8826033783
53,1090062.473080368
54,1091598.0931632232
55,1088612.0035979461
56,1102262.6159217071
57,1107159.2775351715
58,1090329.2004172516
59,1081932.2191321563
60,1089138.2073905182
61,1093590.2676779937
62,1095922.0482604217
