,account_value
0,1050931.3845346884
1,1049362.2150232745
2,1050058.2499780473
3,1054771.772351856
4,1056068.3247563683
5,1051100.0224344048
6,1060136.483001531
7,1064452.1507400158
8,1071879.38338272
9,1068504.4770526888
10,1043337.7971691529
11,1053526.1377209483
12,1042325.9388534523
13,1058870.2542203432
14,1063057.3927806441
15,1068052.685450567
16,1065092.3919952577
17,1076255.5458287038
18,1068562.3424610589
19,1076931.6253416198
20,1076800.7172101038
21,1083003.845225503
22,1099416.2365253498
23,1111703.424593365
24,1109059.4052710768
25,1086090.5031030637
26,1061910.5310944011
27,1077016.9238543864
28,1093421.6249184748
29,1091007.8313212867
30,1079819.277716301
31,1067771.2900458903
32,1073988.0827794967
33,1086795.113820959
34,1092297.6807403145
35,1090091.9567672147
36,1094859.5877633968
37,1109321.6564147088
38,1109058.7937498365
39,1125346.5302083963
40,1126424.3541536834
41,1128628.5216897523
42,1133762.4674301133
43,1129381.3245985066
44,1125611.9902942802
45,1116480.3169161547
46,1105243.8574672795
47,1111245.2376932006
48,1102682.9227946117
49,1099527.7309388327
50,1091093.1640082595
51,1076014.7896919444
52,1054818.7883452268
53,1077850.3268719327
54,1080100.8887671167
55,1082311.5117229728
56,1098393.7678390732
57,1097596.286625383
58,1091685.0749931925
59,1094528.1432089184
60,1107935.6658174882
61,1105065.845791009
62,1104463.72056147
