,account_value
0,917510.1711121268
1,916276.9110760206
2,902209.5943709437
3,886125.5743472561
4,884746.7506703337
5,884520.5406257974
6,883132.4635128211
7,915655.6019219463
8,898106.2824287239
9,916902.7005352901
10,930100.1663134962
11,929464.6844049683
12,925961.6162999509
13,937742.8995738669
14,945887.5745222056
15,958042.2369719383
16,958281.0011752547
17,967502.8167320843
18,998477.7179596284
19,990428.9782975555
20,989017.2356993438
21,976184.3377775965
22,970787.0788558208
23,983329.2654897174
24,990528.7703413421
25,1002552.9197524618
26,990063.8186129655
27,1013694.9070046165
28,1007361.4743136619
29,1008281.835931503
30,1003588.5828514887
31,1006011.7265311633
32,1008946.5621096633
33,1013635.9976613529
34,1014558.7009580884
35,1022820.322766491
36,1021175.2513155211
37,1022025.1139579929
38,1008261.465307612
39,1009286.1161259171
40,1026419.802784987
41,1025962.6089117967
42,1026900.4559449101
43,1018935.2653308893
44,1008822.0917997888
45,1007156.3284642409
46,1012364.2489844923
47,1006283.8973943978
48,1023577.0558893549
49,1025414.5328949041
50,1019819.1729217464
51,1002344.779068644
52,987548.9639428214
53,984991.4820398595
54,989357.1310535623
55,1002247.4312619951
56,990666.112743533
57,998014.9166037199
58,997843.6094845238
59,987504.7484865955
60,997102.4140924893
61,995589.7375258844
62,995872.1934901574
