,account_value
0,1412744.7184624872
1,1413888.7907041858
2,1422265.990460057
3,1427635.575468056
4,1434667.6666900695
5,1436153.915886493
6,1444904.9202261853
7,1445250.4237438368
8,1448223.3248652148
9,1443483.4384117678
10,1442054.2123900477
11,1449156.248615815
12,1449969.208973113
13,1443492.349392814
14,1433702.1751346833
15,1445287.008083695
16,1452455.5502852676
17,1454696.4657821676
18,1440956.329178431
19,1444676.520671132
20,1442704.0775899505
21,1457877.3315096016
22,1447871.8337367189
23,1443124.923169086
24,1449067.002098542
25,1446225.2527886026
26,1452904.7819229972
27,1439916.5187575764
28,1434964.1005248812
29,1424848.7132759665
30,1428108.615806834
31,1432693.3919397613
32,1432415.014228579
33,1441013.1348389753
34,1425799.4564170998
35,1442086.5296244447
36,1450140.81701523
37,1461446.0749044234
38,1465327.0143501975
39,1461762.2811972464
40,1471689.3905523673
41,1463420.5343317532
42,1463943.0804435757
43,1462512.3748261787
44,1465856.2231324862
45,1469346.9129327496
46,1462276.806926776
47,1464822.1062350364
48,1452316.1119164214
49,1441594.2575100802
50,1448049.284339625
51,1443945.8714046257
52,1440724.3392837634
53,1416766.5168816475
54,1408222.3463118759
55,1402069.128086438
56,1379869.8988299046
57,1377939.3732688848
58,1382400.8065088594
59,1382133.7942396558
60,1388175.1106415305
61,1373521.4711471933
62,1385335.5639033846
