,account_value
0,1394195.9774447035
1,1406659.6219607561
2,1408419.8797352544
3,1416982.8206775505
4,1418508.0697903086
5,1414293.4321946257
6,1408308.5928347246
7,1420182.7459996303
8,1425944.627306276
9,1410290.2803216483
10,1391940.2397886093
11,1386751.5857008044
12,1379269.3103322883
13,1395511.618641852
14,1395645.1316951336
15,1394712.5519362658
16,1379253.403058401
17,1395384.400478902
18,1411772.8246240625
19,1419896.9468609872
20,1441172.0253352905
21,1448609.7147774787
22,1450944.454294113
23,1451670.3904602
24,1449119.5420125055
25,1443480.9976171893
26,1456654.8659908925
27,1460902.1335487901
28,1475243.1045928947
29,1486903.0092683928
30,1490990.262798218
31,1494027.8784591348
32,1507698.4358754796
33,1510791.0995349125
34,1518428.0097474263
35,1524161.0283029904
36,1520708.191177312
37,1523037.288897449
38,1528023.6182265
39,1553392.3315545847
40,1569114.479103705
41,1574776.3406958024
42,1572915.7331556238
43,1565415.491100873
44,1564288.920079935
45,1572374.0948363498
46,1578939.2538821995
47,1585227.8066916175
48,1594455.499735764
49,1602606.8610955693
50,1602275.2676983103
51,1603483.6749480118
52,1609912.886548716
53,1584717.4847542294
54,1598301.8710258417
55,1603386.997301517
56,1611535.952953842
57,1614946.8976943742
58,1618305.3064697594
59,1618601.3489080046
60,1628058.7436151088
61,1621633.2932978438
62,1626866.9976109215
