,account_value
0,1424573.9422438627
1,1424676.4779529942
2,1396780.8096982082
3,1408041.8291011367
4,1419177.8571783167
5,1439582.922460045
6,1445034.8844233972
7,1460552.453332272
8,1476007.4471074454
9,1481263.5707654357
10,1494082.423668014
11,1487632.893785477
12,1489813.6573515872
13,1499470.2155439158
14,1494986.2425454035
15,1521973.3435300689
16,1509829.8313265983
17,1504806.013161655
18,1511453.492824762
19,1532626.29485474
20,1550286.9286433633
21,1537596.4422155777
22,1525905.483516478
23,1534313.8637337124
24,1547012.1477198536
25,1554128.201531731
26,1556853.0421567159
27,1570872.6754262534
28,1572495.6674316085
29,1530132.6548330297
30,1509135.306196836
31,1512713.939392947
32,1501387.608530217
33,1489892.0867057384
34,1486221.6509086655
35,1509111.294122441
36,1483222.5345107578
37,1429705.7112254826
38,1447915.9663502674
39,1415016.826107089
40,1402606.6758475553
41,1350878.2168704388
42,1349436.3017066347
43,1355666.0482836582
44,1342750.080816418
45,1371498.3564994398
46,1383681.8582193858
47,1380013.5307477633
48,1418966.4831120896
49,1417076.8244096804
50,1433904.9387039407
51,1461364.9206172074
52,1472781.3832844489
53,1457973.7058734149
54,1446683.9562664877
55,1411965.1996681257
56,1415162.020100154
57,1409308.0123293893
58,1421000.562405647
59,1311198.8692908927
60,1208217.3351207466
61,1213499.165153141
62,1212225.8132532572
