,account_value
0,1014162.6740508089
1,1023059.4172746198
2,1035002.3688591368
3,1040695.2698866779
4,1040488.6271562761
5,1031692.0292634032
6,1028821.0521528466
7,1036222.0928186076
8,1038062.0931417655
9,1017458.2485534612
10,1008674.83023322
11,1000445.2399152255
12,993320.4199086097
13,1009861.3356062867
14,999860.6165206673
15,988883.4418890501
16,980709.7751014153
17,996720.4045414022
18,982897.2208233204
19,993706.6731519934
20,1015350.8151837686
21,1019155.4564848822
22,1019831.6523065892
23,1019384.987664664
24,1018337.6948011972
25,1014785.0467310926
26,1030080.0622716421
27,1031295.3186530946
28,1047321.9156470653
29,1054344.585968065
30,1058411.3890521284
31,1063122.5060059251
32,1065026.1630510471
33,1063880.6971733863
34,1064524.8263405012
35,1066487.9605378353
36,1066439.0858202665
37,1069489.1945836067
38,1069044.1494640668
39,1078638.870559205
40,1091978.112778415
41,1091720.3572403202
42,1096357.179801031
43,1096616.0039702954
44,1101420.8718833246
45,1104799.0250937194
46,1103396.705271892
47,1106845.9113393098
48,1124271.5596879653
49,1143393.1822250353
50,1139921.220209979
51,1137867.4866147027
52,1148234.7007549717
53,1133897.239895762
54,1139578.619754141
55,1139991.497722813
56,1148299.7766413651
57,1153570.389357661
58,1155668.5328895377
59,1153540.1199663999
60,1147952.1259086793
61,1133875.6373894075
62,1132676.5913554064
