,account_value
0,1306856.0350358642
1,1297352.9583342092
2,1292142.8897844916
3,1291445.3947074625
4,1298952.0352425778
5,1280928.5715926138
6,1278187.7301080686
7,1289246.4120029677
8,1283972.641450529
9,1287669.456711703
10,1281754.4061886151
11,1291255.614136124
12,1281326.158029928
13,1250098.5042619752
14,1259626.4288846883
15,1228818.0194923966
16,1241590.2438318294
17,1272188.8910126593
18,1236823.3319333894
19,1230814.1301810134
20,1233347.401935028
21,1267488.9362880955
22,1227682.051381876
23,1228428.9766089227
24,1203784.1895134733
25,1208515.6865709857
26,1194796.774648936
27,1188162.7392061758
28,1205451.224892434
29,1208284.2831213956
30,1228147.4003428672
31,1182376.1165317195
32,1157907.828262605
33,1160576.1166935551
34,1195299.4978421777
35,1194106.7933634324
36,1193120.3349537093
37,1208385.121088899
38,1234049.9297405395
39,1229850.476294531
40,1219525.7066022411
41,1234931.3743868556
42,1212009.15477029
43,1218429.162707548
44,1232734.3413687483
45,1222381.444904005
46,1190903.2358666023
47,1166344.537382503
48,1138230.6152380465
49,1130928.289904423
50,1136526.967954757
51,1109281.2370972882
52,1110695.0342767707
53,1135329.6991527362
54,1136758.4092796596
55,1144490.6987846894
56,1179638.2129153772
57,1179155.7612410919
58,1161533.6477011906
59,1163336.4891883906
60,1162647.5017256888
61,1179199.1196307861
62,1172692.6413404357
