,account_value
0,1229993.272735009
1,1227783.9076536777
2,1245081.1268052815
3,1260701.7114959934
4,1251867.0258331592
5,1244326.4019035862
6,1268037.8676568554
7,1259080.5141797094
8,1281990.1183976887
9,1271919.951078902
10,1267661.6197563848
11,1264597.6190385998
12,1265421.0122244137
13,1273895.954451228
14,1274120.242353072
15,1256752.719157069
16,1266478.341486781
17,1260626.5317867687
18,1254335.861708491
19,1264305.197935908
20,1252308.1832798412
21,1244745.0571468761
22,1251016.7937191417
23,1235873.7707088878
24,1227583.5524128368
25,1259385.1242168834
26,1269897.5662144115
27,1270474.3275593212
28,1268014.9170444896
29,1261841.5850895336
30,1255070.49371609
31,1260171.8945301464
32,1264699.155775874
33,1252851.6599491527
34,1259421.279578059
35,1265963.6275585582
36,1263489.0277279308
37,1258122.5732563427
38,1257777.5727146557
39,1251594.5964306286
40,1262375.8780620983
41,1267741.4734829357
42,1281275.2159641674
43,1280501.8706272533
44,1284325.8072307995
45,1278292.083067744
46,1274537.0939510753
47,1258068.1044872692
48,1253186.5089977672
49,1251341.4501446178
50,1262965.1653088024
51,1266772.7465465954
52,1258366.9597652843
53,1260600.0598553112
54,1270505.6393764904
55,1273654.2630642345
56,1293265.271387904
57,1289279.1885097912
58,1292698.487429469
59,1285629.5471599987
60,1284710.5261562755
61,1282906.3880413463
62,1290733.737719386
