,account_value
0,1050931.3845346884
1,1050149.6800910379
2,1049807.3120585557
3,1055813.018838094
4,1058306.878059245
5,1051559.2662699197
6,1062126.126582055
7,1068628.2315685377
8,1078317.1145981634
9,1074067.1079294477
10,1057548.9587617894
11,1068847.1630923774
12,1057771.8517776006
13,1072074.0299390717
14,1071780.65432242
15,1074340.5497616618
16,1072770.189604703
17,1088022.1985628027
18,1079255.5785215998
19,1088477.940996914
20,1090392.2607805124
21,1097873.4311774713
22,1113431.3029694986
23,1123783.1528866154
24,1120430.2575098039
25,1098622.4042580905
26,1074227.6963600684
27,1091719.0914898068
28,1108682.3116300863
29,1106133.9393410604
30,1094777.5767918676
31,1084349.690764952
32,1090648.2049187045
33,1095849.1669616816
34,1099853.3866106584
35,1094274.6445356025
36,1099673.9254810193
37,1106258.4383500998
38,1109262.5002267149
39,1116160.847529962
40,1116164.3238623135
41,1120761.0599245287
42,1122852.802866218
43,1116507.8153523365
44,1112540.4268519736
45,1104419.8991172896
46,1096878.2918986853
47,1104316.6760324112
48,1096218.2541017877
49,1093486.2032804752
50,1085409.2256531476
51,1071260.6020697802
52,1050295.7110031834
53,1071191.1564339167
54,1076999.2405778298
55,1078325.794632442
56,1090380.8244442437
57,1115959.4201822795
58,1109712.8705740704
59,1119364.0589952378
60,1125716.8302759293
61,1129872.6392665396
62,1133185.2277085916
