,account_value
0,1184715.1878969157
1,1187643.1708544656
2,1204683.4429112666
3,1191087.6512269021
4,1193408.2889796945
5,1197533.7395540583
6,1205344.1000372125
7,1208159.1100935175
8,1208741.3863979913
9,1186820.7138200572
10,1183133.6130882686
11,1203786.3897698787
12,1213321.6564498714
13,1212954.012254513
14,1220228.43159824
15,1227754.8967072107
16,1220912.309694546
17,1209510.030889454
18,1222130.5923826564
19,1229517.2074026987
20,1241502.063815365
21,1222894.4918225673
22,1216078.8820986445
23,1224388.4344226192
24,1215992.1226319964
25,1204278.17464773
26,1197297.145955702
27,1209555.788898909
28,1206872.2567328666
29,1215942.2389989647
30,1192566.3258139212
31,1193891.9282890342
32,1161023.2167425482
33,1156381.025110102
34,1157439.481823542
35,1143658.5155466865
36,1144057.303585665
37,1140702.2812458593
38,1132225.4814764045
39,1141942.6548788513
40,1157732.1472518828
41,1153997.9123737547
42,1139479.9122384589
43,1142273.2280865882
44,1118749.136539286
45,1106266.7676456512
46,1101695.9068423712
47,1113114.385257746
48,1109444.815883223
49,1124487.9648285354
50,1117106.0120915854
51,1127897.1248674626
52,1152282.2597947086
53,1118872.9587232745
54,1128809.0827719958
55,1122510.490803593
56,1117797.0532529643
57,1115287.684505314
58,1135916.9770424655
59,1139918.0605359576
60,1162863.0810028766
61,1160173.4034331287
62,1164322.938448418
