,account_value
0,1303569.0744750965
1,1305717.927657285
2,1329404.0095898781
3,1326718.1283311958
4,1315616.4242007434
5,1300845.1082195612
6,1311532.881422627
7,1322471.7272687147
8,1319451.8972647109
9,1328528.4828208971
10,1321254.4365955768
11,1330026.6429225258
12,1318785.5811385347
13,1342570.4143004061
14,1335887.3511726528
15,1339663.9697698443
16,1350110.8985371483
17,1346582.1736293044
18,1327276.5178458502
19,1325873.9704796753
20,1320499.920800296
21,1335742.9578536008
22,1326203.9733896425
23,1323090.3059312005
24,1321844.7324749327
25,1321251.3773015996
26,1321945.6448045224
27,1300286.5667786617
28,1301120.5983403677
29,1287283.5173096226
30,1287110.1574076915
31,1281919.042700662
32,1275813.9234594153
33,1274067.4402184237
34,1259093.5323456326
35,1269908.3135961115
36,1275420.3974091115
37,1284923.772252308
38,1289394.4449048827
39,1282666.404288279
40,1292136.0035271228
41,1280786.14430566
42,1273282.289204389
43,1267346.955055367
44,1261995.7794500783
45,1262491.764264471
46,1265074.8222273008
47,1263141.328593395
48,1271984.0167003663
49,1265464.8684541378
50,1268051.1048128672
51,1265856.4907574877
52,1261801.9119099285
53,1246531.9495829546
54,1240138.673852772
55,1241285.0862415635
56,1230524.4964582545
57,1227960.9139652331
58,1225471.8842965765
59,1226685.266117643
60,1220710.2191844506
61,1213849.3872098993
62,1219554.576032818
