,account_value
0,1062281.3719332924
1,1072284.073839653
2,1075552.0166012496
3,1086581.3636215895
4,1089627.2237422867
5,1081555.7516714705
6,1075470.9257594221
7,1067435.1358329009
8,1085531.808279579
9,1096248.0346311568
10,1092690.0957655124
11,1097896.3287446764
12,1109235.4659793528
13,1108579.9864143925
14,1118997.821659525
15,1117126.2716602879
16,1121880.5784535008
17,1113662.5820469456
18,1120445.4614224033
19,1122398.5255150395
20,1123549.4571556645
21,1127144.027908762
22,1131956.1011833744
23,1129769.4794354038
24,1134497.6890301304
25,1139534.1936173039
26,1140571.3779682713
27,1138415.314312418
28,1134282.4730648594
29,1137037.9296593266
30,1132392.4891933994
31,1127689.3741058903
32,1125121.50531431
33,1117512.3159851627
34,1103849.8647617893
35,1107127.716076334
36,1121578.6816944676
37,1119988.4913506107
38,1086438.7207359867
39,1097091.7628941135
40,1070310.677353342
41,1068136.1254982548
42,1083039.3740086155
43,1085403.8846916752
44,1109074.2914356785
45,1121881.164709528
46,1122884.3765053349
47,1126199.9473232822
48,1135042.866220911
49,1128825.8965382176
50,1130930.6020874577
51,1140927.7845978336
52,1148160.6272892551
53,1127948.885029276
54,1116096.5738892155
55,1127843.4999985294
56,1135662.6406521397
57,1141649.8184437351
58,1150936.4557633
59,1155111.9521698551
60,1157050.4667229252
61,1154158.5762810307
62,1154518.4753307896
