,account_value
0,1225622.5360969722
1,1231902.0030199671
2,1236112.6946364609
3,1240250.3300723925
4,1244815.9990434737
5,1238980.6068784792
6,1240960.8031860178
7,1257849.9268664094
8,1261793.3338764696
9,1246862.6180579457
10,1234421.4967555876
11,1222594.0951980166
12,1219334.8387846604
13,1226727.164927106
14,1241576.080871064
15,1213648.7810337348
16,1207529.8245931736
17,1232825.7868398435
18,1230448.4614866811
19,1250060.1984908711
20,1267367.1695833015
21,1275779.3899495509
22,1282988.8441027012
23,1291395.753466135
24,1296383.1839367347
25,1287117.9633656668
26,1312941.6533184224
27,1307130.7565117253
28,1324267.007613417
29,1328346.1962629338
30,1339457.0242956039
31,1332320.5148538684
32,1346498.9083935516
33,1339862.3306998368
34,1349927.2385655334
35,1349814.0302105634
36,1351207.2454046344
37,1358686.4295820263
38,1352739.5741590564
39,1357782.9286935679
40,1356219.3614143194
41,1343249.3372249394
42,1352126.3781022378
43,1345058.5287216743
44,1352875.1665043887
45,1361165.1046970254
46,1357054.5427011114
47,1367270.8958862443
48,1379024.3343630633
49,1371885.322433176
50,1378543.9160357476
51,1380985.3059760374
52,1388178.5682408537
53,1374105.0857086144
54,1382413.121653081
55,1383655.7905550753
56,1387505.9585159165
57,1388278.6239558617
58,1391289.6357222525
59,1391323.2135535637
60,1376228.5386556261
61,1368370.1557908137
62,1363425.3536413368
