,account_value
0,1118952.2762250486
1,1131731.9855781444
2,1129700.9014749494
3,1142375.8941450124
4,1139805.6939947286
5,1145196.5706822744
6,1139926.362463761
7,1137805.4200762715
8,1142684.1202067495
9,1145936.1944583363
10,1143730.7030800558
11,1144028.122660134
12,1132226.6927884603
13,1139418.8041784863
14,1137858.460503346
15,1141009.735079495
16,1144589.2548413777
17,1135525.9992318922
18,1153229.8488499036
19,1147029.29836332
20,1131861.8379395986
21,1134823.628668244
22,1136702.9975235143
23,1137463.3131341406
24,1132833.9340614781
25,1135431.6954208456
26,1126903.1884250722
27,1127394.3759489064
28,1132655.6236446577
29,1131045.8475453001
30,1142773.13479958
31,1149571.478929379
32,1153437.0990659758
33,1157919.1390777898
34,1151961.2937637144
35,1146340.7607776648
36,1147776.6653794677
37,1144020.5270958447
38,1141119.062317021
39,1143845.4334528546
40,1144299.2213883977
41,1145509.5778135916
42,1143242.4832533614
43,1147997.0993267715
44,1159667.5923960463
45,1164947.7861403471
46,1161152.908094815
47,1155243.006714024
48,1146483.0956178633
49,1147179.3186608169
50,1150896.4772745862
51,1157580.1904596372
52,1157359.1563005033
53,1154334.7910083013
54,1147496.4536795889
55,1146758.6405711027
56,1158095.3479219556
57,1159569.4158041885
58,1158657.8384830367
59,1149770.0879753043
60,1137883.6063576057
61,1124303.1922764669
62,1126332.1039882589
